 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,2208,130.297,44,198,464.053,37.291,464.346,38.571,442,5,44,65,64.851,43.350,99.900
2,1076,94.875,60,155,227.482,84.033,227.245,84.040,205,68,45,32,45.386,30.186,166.296
3,6122,131.692,56,206,430.629,158.682,432.809,159.311,386,110,88,97,108.074,72.125,51.961
4,2551,114.857,46,174,772.163,201.319,772.265,201.864,737,177,70,48,69.823,46.518,7.087
5,6007,140.261,73,214,858.728,302.749,859.458,302.160,805,266,107,73,107.169,71.367,174.216
6,8668,125.019,9,210,679.347,348.638,674.120,347.965,597,312,165,73,166.617,66.238,169.480
7,1029,87.646,45,140,254.246,961.975,254.756,961.777,226,948,56,28,57.306,22.862,17.957
8,3772,108.069,41,173,60.731,672.591,60.161,672.365,27,634,67,76,82.505,58.211,124.870
9,1156,115.529,71,167,396.157,1004.003,396.995,1003.760,373,987,46,33,45.589,32.285,174.138
10,538,72.686,28,120,54.980,526.059,56.537,525.654,40,512,29,27,31.190,21.962,40.032
11,315,50.390,25,124,652.275,128.583,652.239,129.259,639,117,26,23,31.158,12.872,140.525
12,259,91.178,43,200,628.778,634.118,628.946,633.502,620,623,17,22,23.428,14.076,58.546
13,536,92.860,50,171,712.244,679.989,712.970,680.609,695,668,33,23,33.458,20.397,161.365
14,230,74.917,36,131,78.170,824.617,78.343,825.821,70,814,16,21,22.061,13.274,115.689
15,246,54.793,5,122,42.146,897.907,42.647,899.598,32,888,19,20,22.857,13.703,129.170
