 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,3338,69.921,46,94,594.155,347.018,593.522,347.113,555,319,78,56,78.256,54.31,169.201
2,2489,78.61,49,107,747.139,370.434,746.72,370.569,713,346,67,49,67.398,47.021,166.646
3,5331,76.598,38,115,29.903,1130.279,28.08,1128.86,0,1078,64,102,104.316,65.068,100.917
4,8521,69.246,38,101,496.552,1109.978,496.497,1111.021,447,1051,98,117,125.131,86.704,120.321
5,8183,65.367,35,89,1489.554,1263.036,1489.387,1261.814,1443,1203,92,119,122.367,85.145,111.432
6,5340,72.861,43,100,1969.608,1339.49,1970.414,1338.695,1929,1294,81,91,98.874,68.766,124.918
7,7455,54.206,19,91,1827.043,1333.501,1827.278,1331.778,1770,1289,113,88,116.658,81.366,22.298
8,5973,63.792,35,92,1368.05,1418.986,1368.312,1420.267,1330,1367,75,104,104.975,72.446,103.33
9,5816,78.867,47,117,1243.628,1374.003,1242.383,1373.176,1192,1336,102,75,103.622,71.463,16.655
10,4861,82.017,50,112,1275.054,1285.502,1275.19,1284.767,1241,1238,68,94,94.445,65.533,101.622
11,19192,66.778,39,101,897.026,1465.498,895.688,1464.278,830,1372,134,186,187.552,130.289,102.853
12,20754,70.888,30,104,666.043,1552.511,667.459,1551.496,598,1455,136,195,194.789,135.658,91.611
13,11799,61.534,6,114,379.556,1370.984,380.471,1379.756,318,1305,123,132,147.119,102.114,129.529
14,11969,84.886,38,131,382.574,1489.491,378.216,1488.4,318,1425,128,128,148.359,102.72,135.001
15,24689,77.657,32,121,367.564,1735.522,368.28,1740.446,261,1661,213,148,212.964,147.607,0.699
16,5039,54.048,31,88,157.631,1544.986,156.908,1543.884,114,1505,86,80,96.129,66.742,39.106
17,7837,71.494,45,108,1023.154,1697.998,1022.477,1698.591,963,1656,120,84,119.775,83.309,176.454
18,6773,52.117,31,71,1389.038,1741.538,1388.96,1741.804,1350,1685,78,112,111.312,77.473,84.248
19,6880,52.34,28,79,1867.537,1519.513,1867.286,1519.585,1822,1468,91,103,112.308,77.999,124
20,10845,66.735,38,99,1942.57,1729.474,1942.005,1729.59,1875,1676,135,107,140.885,98.011,155.968
21,5483,55.423,32,83,705.054,1198.521,704.109,1197.916,669,1148,72,100,100.431,69.512,79.437
22,4415,62.594,34,84,1003.633,1299.015,1003.224,1299.273,959,1266,89,65,90.195,62.324,164.274
23,8608,65.508,32,98,1315.553,1174.489,1315.801,1175.836,1270,1112,90,125,125.857,87.083,102.456
24,4824,58.934,26,92,1234.685,1129.47,1233.405,1127.442,1192,1090,85,78,94.429,65.045,37.21
25,5090,88.49,44,121,368.049,632.995,366.692,633.152,327,592,81,81,80.503,80.503,95.961
26,2929,57.427,38,77,1987.648,1068.032,1987.972,1068.722,1961,1031,53,73,73.234,50.923,101.285
27,8272,85.208,61,121,244.544,190.509,244.29,190.263,193,137,102,106,110.617,95.213,128.151
28,1776,92.334,71,112,132.589,125.512,132.61,125.361,107,102,51,46,51.575,43.845,154.128
29,5616,79.637,38,117,1158.054,53.978,1156.875,52.705,1117,9,81,90,91.596,78.066,112.994
30,7199,82.419,57,114,850.579,425.989,850.894,425.914,804,375,93,101,103.548,88.52,119.191
31,2481,65.387,43,89,1039.606,421.5,1039.74,420.705,1012,391,54,60,60.69,52.05,111.1
32,2912,63.177,19,96,1534.644,475.509,1534.409,478.538,1505,443,59,64,65.772,56.371,60.325
33,4227,79.194,52,106,1747.62,523.487,1746.938,523.197,1712,485,71,77,79.265,67.899,60.648
34,6684,71.958,39,114,628.558,758.961,627.195,756.51,585,709,87,99,99.367,85.645,106.166
35,3965,74.566,49,107,141.167,1041.05,140.565,1041.043,105,1004,71,73,76.762,65.767,128.727
36,3510,75.968,52,102,318.182,1130.986,318.068,1130.553,284,1097,67,68,72.035,62.04,131.169
37,7742,73.663,29,110,1566.075,1109.996,1567.132,1106.899,1518,1057,96,105,107.345,91.829,116.75
38,3934,80.238,47,105,562.669,1072.544,563.914,1071.334,526,1037,72,71,76.48,65.493,138.721
39,6157,43.042,17,81,38.53,1309.767,41.309,1312.627,0,1263,81,93,96.675,81.09,116.272
40,15902,67.451,36,111,1158.576,1505.985,1157.838,1505.634,1084,1436,148,139,153.801,131.645,146.779
41,3269,118.072,73,166,1829.163,1997.975,1828.701,1998.772,1797,1964,63,68,69.821,59.612,119.745
42,1048,38.325,18,88,77.168,774.076,74.763,775.94,52,749,50,50,68.205,19.564,45.002
43,1169,79.972,49,119,224.295,865.512,224.387,866.049,193,844,62,43,71.847,20.717,147.077
