 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,9390,51.329,24,91,760.565,1131.048,759.416,1132.095,696,1070,128,122,159.324,75.040,42.741
2,7423,54.438,28,86,888.016,1183.496,888.227,1183.586,854,1113,68,141,141.191,66.940,94.921
3,16784,48.293,16,86,1021.520,1602.023,1020.671,1604.609,956,1503,130,197,213.251,100.211,64.079
4,7918,51.118,13,89,652.635,1345.490,648.496,1342.508,585,1299,134,92,146.375,68.874,151.958
5,3677,47.042,23,77,1749.126,1097.968,1749.493,1098.525,1705,1064,88,67,99.808,46.907,147.464
6,6230,39.459,12,68,1281.042,1568.981,1281.983,1564.749,1247,1505,67,127,129.428,61.287,76.733
7,5599,49.380,28,72,924.088,1376.970,924.488,1376.983,876,1327,95,99,123.237,57.847,132.945
8,22502,60.878,24,100,711.107,1485.007,710.350,1486.023,597,1409,228,151,246.852,116.063,154.017
9,17424,65.758,22,111,361.561,1477.502,366.832,1475.682,265,1404,192,146,217.074,102.200,32.506
10,2043,85.519,59,113,459.167,379.489,459.427,379.907,429,351,60,57,74.309,35.005,136.608
11,2048,73.609,52,98,984.076,283.590,983.858,284.069,956,252,55,62,74.547,34.979,50.238
12,2796,63.054,41,88,1072.649,739.484,1072.047,739.072,1029,718,87,42,87.098,40.873,177.870
13,3542,66.545,39,99,1000.624,1156.482,1001.315,1155.816,955,1126,90,61,98.101,45.971,27.615
14,3459,64.337,38,93,315.120,836.978,315.476,838.286,271,805,87,63,96.502,45.638,150.150
15,2652,65.408,40,104,1857.131,444.086,1857.526,443.230,1823,410,67,67,84.960,39.744,45.001
16,15438,52.957,17,89,1635.052,1389.010,1633.236,1390.279,1551,1313,168,152,204.104,96.305,40.344
17,8670,47.230,11,75,1420.603,1272.030,1423.374,1271.695,1348,1227,144,90,153.260,72.028,23.167
18,10216,60.213,22,95,1354.571,1323.008,1352.143,1323.935,1278,1270,152,105,166.141,78.292,151.889
19,6237,40.510,19,64,1225.617,1294.506,1225.328,1294.139,1165,1254,120,80,129.945,61.112,153.926
20,13436,49.393,21,86,1507.599,1475.979,1505.899,1474.383,1426,1408,163,135,190.271,89.910,143.316
21,6388,55.909,21,89,1642.645,1540.535,1642.274,1540.757,1591,1489,103,103,131.663,61.775,44.994
22,5300,60.190,32,90,1591.700,1261.483,1590.797,1260.854,1535,1227,113,69,119.633,56.407,22.219
23,18415,42.634,8,108,1798.554,1380.001,1803.420,1371.961,1706,1297,184,165,223.228,105.035,40.005
24,3664,55.913,28,87,523.625,1218.015,524.640,1217.735,476,1189,95,57,99.858,46.718,158.739
25,5603,61.127,35,87,88.580,1064.985,88.505,1064.335,46,1011,85,107,122.761,58.113,124.073
26,4068,99.088,63,131,1455.050,137.985,1454.635,136.250,1428,86,54,103,104.578,49.528,103.236
27,4137,58.905,33,92,1524.173,973.547,1522.898,973.040,1487,937,73,73,72.688,72.465,107.225
28,2246,60.890,41,88,1408.648,879.018,1408.344,878.204,1381,852,54,54,53.761,53.193,120.491
29,1367,71.405,51,99,670.604,778.509,670.387,778.664,649,757,42,42,41.721,41.718,85.170
30,6555,74.258,49,112,420.102,991.492,419.773,990.570,374,945,92,92,91.446,91.268,25.240
31,4238,71.071,46,105,184.648,512.995,184.133,513.728,147,476,74,74,73.793,73.123,120.501
32,3681,65.421,42,95,499.723,874.497,500.168,874.525,465,840,69,69,68.463,68.457,90.836
33,7473,51.445,27,91,220.609,1051.500,219.465,1051.955,171,1002,98,98,97.545,97.544,90.000
