 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,3216,138.318,66,235,880.091,334.660,880.822,335.144,849,297,62,75,82.620,49.561,123.194
2,994,124.814,78,181,832.912,601.336,833.012,601.068,810,586,45,30,46.135,27.432,163.322
3,1229,105.734,53,168,772.071,911.313,772.308,911.320,755,886,33,50,50.969,30.701,75.259
4,704,106.581,58,159,245.514,750.018,245.724,750.367,232,732,27,35,34.981,25.624,107.266
5,405,88.331,51,126,410.179,515.885,410.222,516.481,398,502,23,27,29.653,17.390,125.351
6,580,110.160,58,164,656.141,347.934,656.170,348.652,645,330,22,35,35.411,20.855,103.598
7,2426,109.666,47,182,542.732,657.225,542.388,657.276,518,622,49,70,72.996,42.316,113.683
8,426,85.033,58,131,244.315,121.331,244.068,121.241,229,111,30,20,30.584,17.735,163.787
9,361,80.078,45,163,489.514,64.173,490.439,62.758,478,52,23,24,28.455,16.153,49.406
10,832,97.382,48,147,986.142,185.371,986.321,185.368,967,168,37,34,42.607,24.863,39.059
11,782,97.950,52,151,436.877,729.954,437.022,730.019,424,709,25,42,41.601,23.934,84.466
12,424,88.689,57,128,134.191,245.884,134.551,245.753,122,233,24,26,30.148,17.907,130.543
13,2445,91.544,30,152,173.363,529.381,174.214,529.469,145,500,56,58,64.199,48.491,48.088
14,271,69.387,30,102,85.352,549.839,85.292,550.529,78,535,14,29,29.131,11.845,106.270
15,464,85.655,54,129,587.433,778.095,587.431,778.308,573,763,28,30,37.417,15.789,48.064
16,2314,84.135,24,142,662.145,751.205,661.196,750.129,629,724,65,55,74.455,39.571,143.687
17,815,145.645,82,206,320.116,188.056,320.510,188.306,306,167,27,41,41.153,25.216,75.261
18,496,73.196,41,99,271.542,850.040,271.761,849.998,258,836,27,27,31.942,19.771,44.650
19,1037,78.996,0,130,13.541,895.507,14.042,894.161,0,872,28,47,46.928,28.136,93.127
20,318,77.299,53,108,221.563,424.528,221.809,424.589,209,414,24,20,25.538,15.854,146.468
21,1174,109.152,68,152,964.110,880.667,963.427,879.971,941,859,45,43,55.507,26.930,136.116
22,540,76.600,45,111,376.906,786.011,376.907,785.573,365,770,23,32,31.233,22.014,102.537
23,2859,122.900,59,181,128.767,966.822,128.221,967.990,100,932,57,69,72.222,50.402,117.296
24,305,83.036,51,125,739.107,179.716,739.101,180.195,729,168,19,23,23.672,16.405,119.115
25,267,93.869,60,144,538.489,190.740,538.489,190.782,530,179,17,22,22.062,15.409,68.979
26,267,93.869,60,144,538.489,190.740,538.489,190.782,530,179,17,22,22.062,15.409,68.979
27,632,86.152,30,136,950.179,383.386,949.945,382.075,937,366,25,34,33.869,23.759,78.461
28,3320,148.880,56,237,732.764,830.623,732.638,830.608,705,791,55,78,77.837,54.308,82.895
29,227,117.762,76,156,235.407,60.681,235.163,60.459,227,51,16,19,18.476,15.644,109.719
30,287,135.167,97,187,388.124,195.263,388.244,195.468,379,185,18,21,20.702,17.652,106.360
31,705,78.631,26,130,854.768,509.667,853.529,508.215,839,494,30,31,32.541,27.585,124.636
32,553,96.512,47,145,288.889,97.873,288.884,96.806,276,83,25,29,28.809,24.440,106.387
33,374,111.666,50,162,312.187,253.941,312.927,253.874,301,242,22,23,23.728,20.068,134.803
34,498,109.863,37,164,339.568,481.456,338.862,480.653,326,468,26,26,27.318,23.211,135.950
35,2037,134.419,61,208,606.090,840.691,605.956,841.032,581,813,49,55,55.172,47.009,116.046
36,360,84.122,51,127,577.472,806.011,577.338,806.242,567,794,20,24,23.264,19.703,102.364
37,249,126.558,95,176,976.171,280.022,976.405,279.752,967,270,17,20,19.438,16.310,78.480
38,291,80.196,46,139,357.040,648.397,357.170,649.167,344,635,25,27,33.967,10.908,132.045
39,435,109.195,70,160,964.836,220.597,964.873,221.029,952,208,24,24,23.564,23.504,92.158
40,1314,95.974,45,192,926.942,432.123,927.389,433.137,891,405,71,54,85.938,19.468,143.985
41,1292,91.058,36,159,207.401,849.312,205.687,848.691,187,828,40,42,41.271,39.859,115.811
42,536,50.821,11,115,236.791,560.735,237.447,561.978,220,543,33,35,44.956,15.180,47.433
43,758,96.482,26,178,472.135,685.873,473.313,685.385,449,663,45,46,61.201,15.770,134.486
44,446,61.348,26,178,476.058,139.457,478.358,138.987,457,126,38,26,43.533,13.044,31.292
45,553,84.157,36,145,458.156,264.637,458.557,265.986,439,247,38,35,49.253,14.295,136.995
46,615,86.446,30,172,260.711,810.583,260.883,809.297,241,791,38,39,51.375,15.242,133.830
47,791,94.332,50,161,904.778,192.824,904.904,192.730,881,168,46,49,63.911,15.758,46.588
48,617,96.413,49,176,587.447,392.519,587.759,392.866,566,372,43,41,56.493,13.906,136.879
49,495,119.883,73,165,83.643,164.561,83.762,164.335,70,151,26,26,25.524,24.693,124.502
50,664,95.709,58,143,168.860,170.020,168.833,169.903,154,155,29,30,29.691,28.475,104.426
51,229,74.808,43,112,496.871,278.552,496.432,278.517,488,270,17,17,17.313,16.841,89.888
52,195,75.303,39,148,732.736,313.977,733.575,314.083,724,305,16,17,16.224,15.303,112.081
53,175,87.000,37,152,592.820,519.317,592.845,519.588,585,511,15,16,15.156,14.702,72.493
54,79,82.481,43,165,398.057,356.652,398.477,356.405,393,351,10,11,10.215,9.847,15.867
55,41,110.805,90,143,503.500,302.744,503.700,302.697,499,299,8,7,7.258,7.193,0.000
56,219,82.644,40,129,470.751,323.947,470.647,324.160,462,315,17,17,17.212,16.200,149.476
57,131,73.458,47,106,428.088,347.920,427.948,347.800,421,341,14,14,13.454,12.398,124.049
58,185,100.265,61,178,408.165,318.592,408.074,317.823,400,310,16,16,15.629,15.072,117.122
59,82,96.220,53,145,312.085,538.085,311.927,538.057,306,532,11,11,10.427,10.013,134.991
60,131,56.649,20,138,260.088,687.920,261.200,687.906,253,681,14,14,13.454,12.398,124.049
61,99,68.343,46,148,162.157,838.096,162.298,837.575,156,832,12,12,11.597,10.869,143.063
62,82,83.756,55,141,131.354,841.268,131.709,841.573,126,836,10,10,10.316,10.121,148.808
63,98,35.112,17,67,30.102,860.582,30.085,860.966,24,855,12,11,11.329,11.014,118.362
64,55,58.509,31,99,429.355,896.755,429.478,896.871,425,892,9,9,8.409,8.328,150.255
65,82,111.354,59,178,439.256,882.829,439.624,882.863,434,877,10,11,10.617,9.834,129.090
66,143,74.154,34,135,596.710,1010.045,596.297,1009.754,590,1003,13,14,13.869,13.128,109.513
67,98,82.510,49,127,856.684,801.378,856.391,800.869,851,795,11,12,11.254,11.088,109.465
68,82,99.695,69,146,884.915,815.915,885.268,815.909,879,810,11,11,10.427,10.013,134.991
69,195,85.913,51,155,929.500,941.987,929.507,941.655,921,934,16,16,16.073,15.447,118.347
70,175,92.777,53,164,948.780,1011.357,948.853,1010.916,941,1003,15,16,15.235,14.625,119.010
