 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,596,94.124,58,128,118.958,144.698,119.382,144.680,102,132,33,25,32.092,23.646,178.304
2,2028,72.402,22,117,336.721,188.691,335.089,186.798,314,159,45,59,59.108,43.685,104.841
3,5225,97.140,16,174,528.101,116.596,525.673,119.371,485,72,85,89,104.861,63.443,48.739
4,713,60.682,15,100,607.614,145.295,608.348,146.108,592,129,30,32,34.032,26.676,58.814
5,2407,98.279,47,148,786.107,111.454,786.804,110.399,759,81,53,60,62.510,49.027,60.948
6,21728,132.916,0,255,676.704,280.015,678.379,277.192,593,193,166,173,188.237,146.969,49.874
7,3577,115.265,45,179,551.608,510.657,551.268,511.213,516,476,70,68,76.363,59.641,41.474
8,2548,84.415,20,135,452.118,541.332,454.322,543.021,422,508,60,67,79.810,40.649,129.631
9,5186,85.819,17,174,79.441,538.728,81.036,535.135,38,490,83,97,113.181,58.340,53.030
10,4101,100.356,32,160,128.686,746.576,129.597,747.922,87,707,82,79,100.890,51.755,136.522
11,1561,89.366,10,142,98.785,865.325,98.778,864.676,77,837,43,56,61.987,32.064,58.944
12,2115,82.459,34,138,227.505,900.866,227.514,900.628,201,872,52,57,64.136,41.988,128.707
13,7111,115.840,40,183,457.333,725.406,455.473,727.735,405,678,105,94,117.795,76.862,37.579
14,10416,114.902,30,199,591.347,801.262,591.596,801.076,539,733,104,136,142.575,93.018,113.751
15,1749,48.226,11,94,632.789,684.037,631.339,686.899,609,657,47,53,58.259,38.224,55.260
16,5442,87.744,23,147,816.049,700.543,818.108,699.706,767,658,98,85,113.425,61.089,36.684
17,7481,87.759,11,154,876.665,924.667,875.964,926.928,820,878,113,93,125.364,75.979,32.911
18,364,58.475,30,88,982.206,814.766,982.186,813.918,971,802,22,25,27.536,16.831,49.593
19,2110,69.478,14,130,654.160,491.891,657.740,493.507,629,461,50,61,66.507,40.395,122.775
20,825,67.726,25,107,334.187,379.363,334.452,379.990,317,361,34,36,41.546,25.283,132.146
21,414,70.437,44,108,828.886,424.036,828.426,424.569,819,409,19,30,29.696,17.751,82.168
22,189,71.709,52,95,782.907,427.357,782.891,427.467,774,418,17,18,19.869,12.111,132.105
23,220,101.295,68,132,732.245,438.645,732.445,438.870,721,432,22,13,21.710,12.903,6.653
24,281,85.381,50,124,677.507,406.703,677.367,406.558,669,394,16,25,24.274,14.739,96.475
25,245,101.359,65,129,730.202,481.982,729.890,482.077,718,475,23,14,22.468,13.884,3.923
26,353,28.595,6,63,899.489,148.024,898.927,147.952,891,134,17,27,26.840,16.746,81.672
27,718,37.429,12,79,662.737,599.922,663.605,599.563,650,581,25,38,39.008,23.436,106.368
28,580,47.791,20,87,377.619,1003.360,376.449,1004.327,359,992,36,22,35.092,21.044,6.689
29,194,50.706,22,85,335.521,928.010,334.747,928.361,325,921,20,13,20.008,12.346,6.827
30,766,81.420,29,129,132.811,648.099,133.127,646.432,119,628,27,39,40.024,24.368,67.911
31,715,61.364,25,145,527.431,625.882,527.784,626.915,514,607,26,38,38.648,23.555,112.029
32,23768,117.743,10,197,809.346,722.650,813.247,725.075,736,614,146,217,223.341,135.498,107.324
33,585,40.798,0,128,317.587,661.994,316.300,664.070,299,651,36,22,34.849,21.373,173.321
34,1684,123.847,74,172,230.037,547.996,230.582,547.789,206,524,47,47,46.305,46.305,96.340
35,4992,119.961,43,196,279.488,451.989,280.560,453.447,239,412,80,80,79.786,79.663,143.754
36,4136,107.013,36,198,774.818,553.982,776.548,552.936,738,517,73,73,72.702,72.434,13.500
37,2180,33.762,0,110,436.023,385.320,433.395,379.922,422,332,27,107,106.427,26.081,88.494
38,789,36.321,0,135,545.663,939.263,547.694,941.519,522,928,46,22,45.224,22.213,178.164
39,467,59.242,3,150,233.515,496.746,234.297,498.077,219,485,28,23,27.045,21.986,8.071
40,590,59.605,23,100,950.139,210.631,950.431,210.251,936,196,27,29,30.363,24.741,118.958
41,1115,88.742,34,147,354.043,106.710,354.404,107.122,334,88,40,37,41.870,33.906,30.750
42,266,69.192,28,124,700.207,789.962,700.765,790.337,691,780,18,20,20.346,16.646,58.541
43,413,65.320,16,146,735.505,840.071,734.825,841.715,723,828,24,23,25.464,20.651,37.243
44,261,69.475,11,148,640.872,209.335,640.973,208.847,630,201,21,17,20.116,16.520,5.231
