, ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle,class
0,1,1022,124.215,86,157,665.6389999999999,172.05200000000002,665.4960000000001,172.22799999999998,646,153,38,38,43.09,30.199,42.803000000000004,0
1,2,956,122.715,87,169,688.176,79.488,688.367,79.528,668,63,40,32,41.701,29.189,23.994,0
2,3,597,86.184,63,136,61.641999999999996,257.894,61.941,257.975,46,240,31,35,41.795,18.187,130.539,0
3,4,298,74.96600000000001,51,134,354.17400000000004,64.775,354.38599999999997,64.657,344,52,20,25,29.028000000000002,13.071,55.907,0
4,5,350,76.877,49,112,185.783,325.954,185.662,325.579,170,317,30,18,31.174,14.295,156.88299999999998,0
5,6,916,114.37899999999999,79,150,245.13299999999998,618.936,245.488,618.509,230,598,30,41,40.786,28.595,101.611,0
6,7,1425,110.449,73,144,739.079,611.979,739.6,611.9069999999999,718,588,41,48,51.195,35.44,119.75,0
7,8,1122,112.98700000000001,79,148,948.169,591.506,948.0319999999999,591.298,926,574,44,34,45.41,31.46,20.936,0
8,9,735,137.952,104,177,79.72,668.5110000000001,79.238,668.571,61,652,36,32,42.305,22.121,38.784,0
9,10,651,132.359,86,172,56.724,696.5060000000001,57.51,696.143,38,683,37,27,39.832,20.809,28.199,0
10,11,888,128.065,98,165,250.622,678.09,250.515,678.072,235,658,31,40,42.754,26.445,117.444,0
11,12,2436,115.37200000000001,69,157,538.2959999999999,766.929,538.6709999999999,766.666,507,739,62,55,70.172,44.2,143.3,0
12,13,1075,101.295,46,135,857.079,794.1010000000001,857.252,794.625,835,773,43,41,52.081,26.281,136.906,0
13,14,951,122.915,59,167,869.873,758.9860000000001,870.328,758.1569999999999,849,743,41,31,40.803000000000004,29.676,13.872,0
14,15,511,117.47200000000001,91,151,518.22,598.422,518.241,598.739,505,585,26,27,29.686,21.916999999999998,133.325,0
15,16,530,122.355,94,149,506.93199999999996,566.111,507.024,566.11,493,553,27,26,30.263,22.298000000000002,39.784,0
16,17,1293,135.787,75,202,741.451,801.003,741.0189999999999,801.137,721,779,40,44,47.196000000000005,34.882,125.281,0
17,18,1351,129.363,81,164,698.826,776.9689999999999,698.373,776.6039999999999,674,759,49,36,48.308,35.608000000000004,10.472000000000001,0
18,19,2027,110.693,56,152,852.693,954.596,852.85,955.216,826,928,53,52,59.315,43.511,137.221,0
19,20,1593,134.766,88,185,413.375,823.926,413.27,823.592,393,797,40,53,52.43600000000001,38.681,87.27799999999999,0
20,21,922,117.25200000000001,91,142,418.57599999999996,874.706,418.715,874.779,391,863,54,23,53.846000000000004,21.801,2.125,0
21,22,2359,150.248,112,198,446.62300000000005,978.044,447.18699999999995,978.107,408,956,76,43,76.915,39.051,13.709000000000001,0
22,23,2082,128.971,82,166,315.633,981.957,315.534,981.675,290,954,50,56,59.883,44.268,123.405,0
23,24,1559,128.826,78,180,28.566,969.988,28.584,968.5219999999999,11,939,34,61,60.437,32.844,83.771,0
24,25,697,117.805,80,151,275.08799999999997,842.097,274.928,841.8580000000001,263,821,23,41,40.464,21.932,81.523,0
25,26,900,113.154,68,151,986.9889999999999,771.5060000000001,986.635,771.482,967,756,39,30,39.825,28.774,14.395999999999999,0
26,27,1194,100.296,67,135,989.275,645.399,989.659,645.441,969,625,40,40,43.146,35.235,136.751,0
27,28,931,109.119,73,153,533.379,476.149,533.646,476.157,512,461,42,30,42.917,27.62,157.596,0
28,29,400,120.89,80,144,164.817,577.278,164.80900000000003,577.508,155,563,19,28,28.04,18.163,105.06299999999999,0
29,30,452,58.553000000000004,25,130,169.363,550.053,170.19,548.5319999999999,158,535,22,29,29.848000000000003,19.281,62.961000000000006,0
30,31,1564,130.51,65,187,65.857,41.70399999999999,63.732,41.71,43,19,45,45,45.18600000000001,44.07,157.339,2
31,32,1733,163.197,122,226,215.68599999999998,180.40099999999998,215.762,180.292,192,156,47,48,47.708999999999996,46.25,110.126,2
32,33,1222,161.88,113,206,304.112,256.276,304.474,256.22900000000004,284,236,40,40,39.954,38.942,101.63799999999999,2
33,34,1148,169.426,138,213,325.863,113.575,326.053,113.434,306,94,39,39,38.818000000000005,37.655,107.978,2
34,35,1928,141.359,24,204,447.798,334.69599999999997,448.80300000000005,337.345,423,309,49,51,50.36600000000001,48.739,127.885,2
35,36,1680,163.218,121,225,413.64099999999996,414.806,413.87699999999995,414.7,390,391,47,47,46.88,45.628,147.892,2
36,37,2155,164.40599999999998,104,222,404.096,495.215,403.978,494.898,377,469,53,52,53.007,51.763999999999996,136.19799999999998,2
37,38,1555,166.35,133,215,361.809,551.1619999999999,361.962,551.024,337,531,49,40,49.891999999999996,39.683,165.74900000000002,2
38,39,956,110.323,49,157,25.182,574.74,25.919,575.505,7,557,35,35,37.328,32.608000000000004,129.252,2
39,40,4349,150.786,59,223,319.629,717.502,318.033,718.5889999999999,279,682,80,70,79.604,69.561,3.77,2
40,41,1449,151.751,95,201,469.6,708.982,470.591,709.066,446,688,46,42,45.669,40.398,19.910999999999998,2
