, ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle,class
0,1,2297,101.84200000000001,62,138,89.221,386.944,89.311,387.031,60,360,57,53,58.088,50.348,28.364,0
1,2,2304,113.06700000000001,83,151,200.15,352.959,199.99900000000002,352.892,171,327,58,51,58.42,50.215,171.778,0
2,3,1663,105.046,59,144,125.648,431.505,125.844,432.27,101,408,48,46,49.72,42.586999999999996,144.967,0
3,4,1749,126.655,79,171,227.137,292.748,227.247,292.9,201,267,52,51,61.93,35.958,136.747,0
4,5,1855,127.869,82,168,363.905,256.498,363.801,256.54200000000003,341,227,45,58,61.526,38.388000000000005,118.404,0
5,6,3139,111.35799999999999,57,169,302.308,357.616,300.66200000000003,356.556,259,332,86,51,87.84700000000001,45.496,161.836,0
6,7,517,104.49700000000001,73,125,269.73,378.721,269.48,378.73800000000006,253,366,32,25,35.683,18.447,146.85299999999998,0
7,8,2695,139.692,69,190,498.55699999999996,207.66,496.87,206.96900000000002,454,185,88,45,89.61,38.292,164.548,0
8,9,2004,151.627,103,193,582.069,152.279,582.185,152.518,563,114,38,76,77.408,32.963,105.681,0
9,10,598,133.888,98,158,639.082,164.416,639.15,164.38,622,147,33,34,42.412,17.952,46.321000000000005,0
10,11,492,96.022,68,126,641.813,115.74,641.59,115.728,622,107,39,17,38.338,16.34,3.262,0
11,12,581,138.16899999999998,106,175,674.4169999999999,101.863,674.4860000000001,101.921,661,86,26,32,34.119,21.680999999999997,119.585,0
12,13,294,120.439,88,150,721.0310000000001,100.595,721.416,100.271,709,91,23,19,24.35,15.373,30.623,0
13,14,459,119.479,86,143,783.069,90.64399999999999,783.4760000000001,90.586,770,78,25,25,28.976,20.169,44.108000000000004,0
14,15,472,159.936,116,203,819.331,106.67200000000001,819.847,106.714,808,91,22,31,29.505,20.368,95.221,0
15,16,1377,157.504,112,206,860.54,74.255,860.388,74.825,833,51,54,46,64.484,27.189,39.968,0
16,17,769,152.96200000000002,93,204,939.577,185.015,940.135,185.407,922,169,34,32,37.59,26.046999999999997,138.60299999999998,0
17,18,407,127.899,93,156,937.819,160.55700000000002,937.809,160.224,927,147,21,27,27.39,18.92,119.546,0
18,19,909,128.879,102,154,722.227,133.063,722.188,133.115,699,118,46,30,48.306000000000004,23.959,155.612,0
19,20,875,127.681,96,156,692.187,161.483,692.2130000000001,161.679,672,143,40,36,47.266000000000005,23.57,139.637,0
20,21,573,138.799,106,170,679.694,352.477,679.8710000000001,352.653,663,338,32,29,38.152,19.123,138.74200000000002,0
21,22,240,118.804,95,138,615.1419999999999,314.91700000000003,615.072,314.849,606,303,17,23,24.686999999999998,12.378,118.42,0
22,23,298,114.98299999999999,97,132,617.745,352.966,617.639,352.983,604,344,26,18,27.434,13.831,153.64600000000002,0
23,24,563,126.885,98,162,497.86400000000003,269.73400000000004,497.62699999999995,269.935,484,252,27,34,38.068000000000005,18.83,57.004,0
24,25,553,150.076,108,198,478.285,301.992,478.716,301.657,461,289,34,26,37.609,18.722,147.952,0
25,26,378,115.772,80,141,463.57099999999997,377.537,463.495,377.75800000000004,451,364,24,26,30.976,15.538,131.299,0
