, ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle,class
0,1,232,58.315,22,101,427.315,10.573,428.163,10.970999999999998,416,3,22,15,22.563000000000002,13.092,21.283,0
1,2,1262,84.081,37,133,977.903,89.833,977.209,90.54700000000001,960,67,35,46,45.832,35.059,88.14200000000001,0
2,3,2558,82.819,30,143,924.0089999999999,179.028,925.3530000000001,180.856,894,149,59,59,65.418,49.786,45.37,0
3,4,689,87.441,49,127,82.094,208.308,82.085,208.25,70,189,24,38,38.6,22.726999999999997,100.311,0
4,5,255,72.76100000000001,47,109,193.233,264.802,193.602,265.1,184,252,17,26,27.819000000000003,11.671,117.022,0
5,6,946,61.522,26,94,290.607,235.032,290.515,235.16400000000002,272,216,37,38,45.739,26.334,47.051,0
6,7,420,52.574,26,77,197.512,149.586,198.433,149.232,180,138,34,23,38.402,13.925,30.875999999999998,0
7,8,137,45.365,23,68,476.142,14.274000000000001,475.79,14.654000000000002,469,6,13,16,15.67,11.130999999999998,60.051,0
8,9,1961,116.861,48,188,689.9989999999999,117.16799999999999,688.297,116.85,656,98,67,38,67.562,36.955999999999996,169.50599999999997,0
9,10,1554,102.34700000000001,20,161,666.404,158.048,666.89,158.694,646,130,40,56,60.12,32.911,116.03,0
10,11,116,76.336,58,97,557.966,260.836,558.004,260.943,549,255,17,11,16.447,8.98,20.011,0
11,12,154,80.825,50,98,602.175,255.71400000000003,602.14,255.799,596,246,11,19,19.0,10.32,91.803,0
12,13,119,57.882,41,76,577.525,175.03799999999998,577.615,175.085,572,166,10,17,16.869,8.982000000000001,75.916,0
13,14,101,67.406,39,87,787.322,149.10399999999998,787.1410000000001,149.255,781,142,12,13,15.147,8.49,46.638000000000005,0
14,15,196,36.235,15,60,823.4639999999999,176.505,822.5989999999999,177.44099999999997,815,167,16,19,21.323,11.704,57.309,0
15,16,348,76.057,47,112,661.1410000000001,34.066,661.245,33.854,653,17,15,34,33.369,13.277999999999999,79.752,0
16,17,198,62.898999999999994,38,96,898.571,80.232,898.5060000000001,80.807,892,68,12,25,25.122,10.035,103.13,0
17,18,1124,98.585,61,145,731.492,241.268,731.789,241.012,706,221,51,40,59.702,23.971,35.326,0
18,19,384,87.031,58,122,450.56,316.089,450.51099999999997,315.78700000000003,440,303,20,26,26.123,18.715999999999998,79.152,0
19,20,246,73.846,50,96,337.22,322.45099999999996,336.921,322.368,325,314,24,16,24.897,12.58,156.583,0
