, ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle,class
0,1,1252,61.393,8,111,301.955,66.396,302.98400000000004,67.752,282,43,39,46,50.226000000000006,31.739,123.488,0
1,2,1641,80.012,17,123,265.106,312.528,265.501,312.95599999999996,242,287,46,51,57.701,36.211,51.629,0
2,3,23017,131.805,31,220,517.54,489.99800000000005,517.953,489.17900000000003,440,388,155,203,215.74200000000002,135.839,115.985,0
3,4,4524,101.34200000000001,0,180,757.553,451.99699999999996,755.993,450.181,722,404,71,96,106.118,54.281000000000006,120.051,0
4,5,1288,24.47,0,67,934.967,538.928,936.3919999999999,542.476,912,519,45,39,47.355,34.631,151.638,0
5,6,1357,57.448,12,93,913.804,646.62,913.721,647.846,893,625,41,43,43.371,39.836999999999996,79.672,0
6,7,910,64.282,35,99,560.624,792.387,560.6669999999999,793.238,543,774,34,37,40.154,28.855,127.484,0
7,8,135,69.47399999999999,50,101,457.56699999999995,939.115,457.528,938.898,450,933,15,12,15.464,11.115,157.077,0
8,9,1386,89.02,48,154,381.587,830.5419999999999,382.839,830.215,358,810,46,41,49.46,35.68,143.839,0
9,10,14717,100.73100000000001,0,189,230.519,748.2260000000001,231.787,751.387,173,665,115,166,167.641,111.77600000000001,78.74,0
10,11,3360,74.426,17,129,88.587,851.9760000000001,87.39,851.704,55,817,67,70,79.87899999999999,53.556999999999995,49.192,0
11,12,1383,20.839000000000002,0,63,119.619,975.4680000000001,120.895,974.3660000000001,100,950,38,50,51.56399999999999,34.15,113.595,0
12,13,667,40.882,7,76,370.27099999999996,923.4910000000001,371.23699999999997,924.08,353,910,34,27,35.729,23.769000000000002,150.9,0
13,14,1284,53.558,18,83,122.71700000000001,552.967,122.307,552.624,105,528,34,50,49.519,33.014,82.398,0
14,15,8962,117.101,5,208,828.554,54.542,827.9789999999999,51.827,775,0,106,109,115.23299999999999,99.023,127.181,2
15,16,2523,130.709,85,220,835.6110000000001,241.46400000000003,835.5419999999999,241.497,805,214,61,54,61.248000000000005,52.449,164.66299999999998,2
16,17,2333,138.345,57,201,420.13199999999995,216.511,420.166,217.239,392,189,55,55,54.816,54.19,126.523,2
17,18,3488,87.402,22,139,691.6669999999999,706.04,692.692,707.086,658,672,67,67,66.895,66.388,14.934000000000001,2
18,19,2039,23.37,0,97,897.543,331.991,900.57,333.03,882,285,30,94,94.34899999999999,27.516,83.479,2
19,20,3577,32.533,0,114,755.686,884.492,755.013,878.954,693,865,125,38,125.243,36.364000000000004,175.90200000000002,2
20,21,665,77.795,40,162,231.261,45.518,232.083,44.531000000000006,216,30,30,30,29.209,28.988000000000003,109.89200000000001,1
21,22,1170,44.983000000000004,0,141,142.115,220.50799999999998,143.71200000000002,221.683,122,201,39,39,38.678000000000004,38.515,86.652,1
22,23,661,42.769,0,98,61.172,303.464,59.699,302.995,47,287,28,32,35.169000000000004,23.93,125.09100000000001,1
23,24,208,45.913000000000004,0,131,299.0,247.0,299.807,249.33900000000003,290,238,17,17,16.274,16.274,0.0,1
24,25,534,42.266000000000005,0,121,587.2280000000001,156.009,586.7769999999999,156.447,573,142,27,27,26.083000000000002,26.066999999999997,87.65299999999999,1
25,26,301,90.91,36,171,607.679,248.5,607.969,248.24,597,238,20,20,19.583,19.57,90.0,1
26,27,110,64.355,31,137,763.073,307.009,763.659,307.823,757,301,12,12,11.835999999999999,11.833,82.875,1
27,28,323,64.693,21,135,747.692,299.017,747.074,298.008,737,288,21,21,20.338,20.221,8.544,1
28,29,214,65.327,31,121,936.061,67.5,936.326,67.501,927,59,17,17,16.644000000000002,16.371,90.0,1
29,30,225,75.493,42,120,689.2239999999999,181.5,689.6080000000001,181.372,680,173,18,17,17.035999999999998,16.816,90.0,1
30,31,249,56.213,22,91,268.155,416.01800000000003,268.142,415.524,259,407,18,18,17.873,17.738,33.189,1
31,32,233,73.803,36,134,226.697,452.5,226.468,451.89599999999996,217,443,18,18,17.233,17.215,90.0,1
32,33,773,50.173,10,118,180.2,515.492,180.38,515.495,164,499,32,32,31.616999999999997,31.129,3.3280000000000003,1
33,34,574,43.244,12,91,47.265,625.498,46.382,623.8009999999999,33,611,28,28,27.261999999999997,26.808000000000003,82.88600000000001,1
34,35,137,74.781,36,120,57.763000000000005,457.5,57.797,457.07300000000004,50,450,14,14,13.228,13.187000000000001,90.0,1
35,36,542,49.725,8,109,65.771,683.998,66.10300000000001,683.618,52,670,27,27,26.444000000000003,26.096999999999998,50.795,1
36,37,231,54.511,21,84,86.67299999999999,769.0319999999999,86.589,769.202,77,759,18,19,20.724,14.192,48.911,1
37,38,214,73.098,37,128,88.53299999999999,659.075,88.302,658.7439999999999,81,649,14,20,20.199,13.49,89.01799999999999,1
38,39,363,43.598,9,87,219.21099999999998,917.056,219.838,916.846,206,907,25,20,25.840999999999998,17.885,24.741999999999997,1
39,40,495,35.434,0,116,276.268,944.4839999999999,278.934,942.372,263,931,26,26,25.348000000000003,24.864,99.23299999999999,1
40,41,970,25.686999999999998,0,76,51.685,938.952,51.431999999999995,939.957,33,921,36,36,35.379,34.909,93.294,1
41,42,181,77.89,52,114,480.61,827.5,480.593,827.508,472,819,16,16,15.184000000000001,15.177999999999999,90.0,1
42,43,208,68.361,39,119,462.0,711.0,461.98400000000004,710.956,454,703,16,16,16.274,16.274,0.0,1
43,44,803,54.013999999999996,0,123,669.745,520.014,670.0939999999999,520.071,653,504,33,32,32.202,31.75,107.17399999999999,1
44,45,353,78.535,25,142,753.2310000000001,561.52,752.748,560.822,742,550,22,22,21.281999999999996,21.119,115.727,1
45,46,623,62.567,33,138,740.7660000000001,735.5,741.2339999999999,734.6260000000001,726,721,29,29,28.174,28.154,90.0,1
46,47,801,55.342,0,137,887.202,795.525,886.9169999999999,795.387,870,779,33,33,32.021,31.85,177.49200000000002,1
47,48,525,79.528,37,148,975.2410000000001,752.01,975.802,752.023,962,739,26,26,25.898000000000003,25.811,30.502,1
48,49,495,29.745,0,124,912.738,927.5039999999999,912.8580000000001,922.8810000000001,899,914,26,26,25.114,25.096,89.029,1
49,50,442,61.081,19,121,657.195,981.57,656.7489999999999,980.711,645,968,24,26,28.949,19.44,50.847,1
50,51,340,62.953,23,128,628.182,919.5,628.768,919.1010000000001,617,909,21,21,21.185,20.434,90.0,1
51,52,268,72.638,27,143,636.19,848.955,636.303,848.368,626,839,19,19,18.572,18.373,132.878,1
52,53,289,91.81,46,138,586.7280000000001,838.4169999999999,586.661,838.672,576,828,21,20,22.53,16.332,137.29,1
53,54,313,62.409,10,124,868.666,652.938,868.711,653.111,857,643,22,20,23.539,16.93,142.65200000000002,1
54,55,139,34.216,0,112,1015.558,647.435,1016.293,645.376,1009,639,12,16,15.817,11.189,105.50200000000001,1
