, ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle,class
0,1,3890,49.59,15,77,1852.108,770.985,1854.144,771.2919999999999,1812,737,79,67,85.51799999999999,57.916000000000004,147.721,0
1,2,4112,43.393,25,73,1892.4520000000002,839.935,1891.596,841.2669999999999,1856,803,73,73,72.458,72.257,118.391,0
2,3,1392,68.242,26,96,1522.0610000000001,480.51800000000003,1521.624,482.163,1504,454,35,52,51.15,34.65,84.868,0
3,4,1568,64.78699999999999,47,89,901.513,758.942,901.7610000000001,758.8430000000001,876,737,50,43,54.047,36.939,32.735,0
4,5,2500,71.98899999999999,49,97,144.201,1040.306,143.57299999999998,1040.349,110,1016,68,48,68.683,46.345,166.68200000000002,0
5,6,7045,69.666,38,101,502.7,1109.94,502.121,1110.64,456,1058,93,104,115.225,77.847,126.915,0
6,7,5367,53.843999999999994,32,77,710.552,1189.483,709.5980000000001,1189.2269999999999,675,1139,70,100,100.301,68.12899999999999,80.251,0
7,8,4891,56.794,26,88,1237.185,1131.987,1235.606,1130.0339999999999,1193,1093,87,77,95.964,64.893,35.415,0
8,9,10422,49.777,16,91,1828.059,1342.0339999999999,1829.672,1338.0629999999999,1763,1287,130,109,140.018,94.772,31.151999999999997,0
9,10,6638,71.71,43,100,1974.0610000000001,1341.035,1974.72,1339.9820000000002,1926,1292,95,97,111.666,75.688,133.13299999999998,0
10,11,4716,42.762,17,69,43.12,1307.664,45.7,1309.151,5,1267,75,81,84.141,71.36399999999999,120.051,0
11,12,15584,60.258,6,114,384.57300000000004,1371.475,385.01300000000003,1380.66,313,1298,142,146,161.06,123.197,132.11,0
12,13,23539,70.018,34,104,676.5319999999999,1542.993,676.813,1543.1970000000001,602,1441,148,204,203.998,146.917,92.795,0
13,14,18367,66.893,39,101,896.541,1465.49,895.14,1464.082,834,1369,124,193,194.649,120.14299999999999,100.991,0
14,15,22141,80.63600000000001,32,121,374.38599999999997,1742.974,373.586,1747.398,277,1669,195,147,196.727,143.299,13.011,0
15,16,8071,71.633,46,108,1023.545,1701.355,1022.677,1701.525,955,1662,136,78,136.525,75.27,8.074,0
16,17,9071,51.878,29,72,1384.078,1737.523,1384.014,1738.122,1335,1677,97,121,121.052,95.41,79.432,0
17,18,16088,66.9,36,111,1156.076,1505.494,1155.8419999999999,1504.93,1072,1443,168,124,168.93200000000002,121.255,169.46599999999998,0
18,19,8289,61.728,35,92,1368.558,1419.494,1368.6029999999998,1420.86,1324,1358,88,122,121.336,86.98100000000001,84.78399999999999,0
19,20,6852,76.911,42,117,1237.117,1369.515,1237.3039999999999,1369.119,1180,1325,114,88,124.963,69.815,30.412,0
20,21,7393,51.75899999999999,25,79,1872.693,1518.5410000000002,1872.1670000000001,1518.8570000000002,1825,1465,94,107,117.075,80.402,124.111,0
21,22,9145,66.824,38,99,1950.096,1728.9920000000002,1949.457,1728.645,1882,1680,135,97,145.13299999999998,80.22800000000001,153.55,0
22,23,7043,51.596000000000004,23,84,167.80700000000002,1546.017,166.649,1545.9189999999999,116,1494,102,103,124.836,71.834,45.668,0
23,24,4713,118.061,73,211,1830.101,1990.984,1827.888,1992.4270000000001,1783,1958,93,66,92.531,64.852,3.513,0
24,25,9721,80.352,36,123,394.086,1482.9820000000002,391.215,1483.422,343,1419,101,128,132.576,93.359,113.257,0
25,26,3496,58.153,40,78,1992.555,1076.364,1992.9660000000001,1076.863,1965,1034,54,84,83.87100000000001,53.073,88.979,0
26,27,2821,92.072,68,112,131.165,127.632,131.13299999999998,127.52799999999999,101,97,60,61,60.056000000000004,59.808,176.294,2
27,28,8940,84.865,59,121,245.399,186.99200000000002,245.047,186.701,191,133,108,107,107.10799999999999,106.273,173.794,2
28,29,5806,68.054,38,94,597.433,350.726,596.754,350.181,549,312,96,77,95.91799999999999,77.07,0.231,2
29,30,4801,74.929,48,107,747.457,372.76800000000003,746.873,372.351,705,336,85,73,84.95299999999999,71.955,7.377999999999999,2
30,31,9637,82.036,57,114,860.1,423.221,860.046,423.19800000000004,804,367,111,112,110.999,110.54299999999999,52.136,2
31,32,4647,69.035,43,104,1044.389,423.30400000000003,1044.7830000000001,422.48900000000003,1005,384,78,78,76.933,76.907,153.1,2
32,33,7551,78.97,28,117,1158.39,52.016999999999996,1156.942,50.553999999999995,1109,3,98,98,98.086,98.01799999999999,72.89,2
33,34,10171,75.014,16,110,1745.115,536.002,1742.128,534.612,1688,479,114,114,113.81,113.787,120.24700000000001,2
34,35,5860,85.861,33,121,372.103,626.997,369.75699999999995,627.265,328,583,87,87,86.37899999999999,86.37799999999999,91.90299999999999,2
35,36,9539,71.782,39,114,638.08,760.997,637.286,758.945,582,705,111,111,110.21799999999999,110.195,163.19299999999998,2
36,37,7214,75.54899999999999,51,108,325.36400000000003,1136.187,324.815,1135.175,277,1088,96,96,95.89200000000001,95.786,124.37,2
37,38,5072,61.293,30,85,1008.1060000000001,1296.012,1008.188,1297.106,967,1255,81,81,80.361,80.36,83.426,2
38,39,17104,61.132,26,98,1314.026,1177.014,1315.5339999999999,1178.979,1243,1100,142,154,153.76,141.63299999999998,90.061,2
39,40,16234,62.79600000000001,35,92,1494.0720000000001,1256.974,1493.213,1257.4,1425,1181,138,152,157.29,131.411,118.38600000000001,2
40,41,14733,69.9,24,110,1577.086,1118.99,1579.185,1115.068,1502,1056,150,126,149.714,125.296,2.256,2
41,42,2650,40.298,22,75,1366.0770000000002,813.957,1367.111,814.2739999999999,1326,786,79,56,87.98700000000001,38.348,150.189,2
42,43,2079,38.084,21,69,993.16,611.944,993.433,612.023,961,583,63,58,78.071,33.906,138.309,2
43,44,1958,40.783,18,87,85.12799999999999,766.04,85.845,763.967,58,734,53,64,75.431,33.05,52.383,2
44,45,2888,37.867,12,71,225.05200000000002,1179.032,224.801,1177.129,193,1140,63,78,91.413,40.225,54.06100000000001,2
45,46,5418,26.201,0,53,1760.026,1668.04,1758.986,1669.7679999999998,1712,1606,96,123,148.583,46.428000000000004,53.641000000000005,2
46,47,4401,38.772,7,88,1677.0079999999998,1397.144,1674.85,1398.6029999999998,1637,1338,79,117,133.36700000000002,42.016000000000005,58.476000000000006,2
47,48,3395,37.93,14,83,1182.048,1737.124,1181.479,1737.204,1149,1694,65,86,97.037,44.54600000000001,57.488,2
48,49,3633,22.641,4,60,400.38699999999994,1324.7820000000002,399.269,1326.0720000000001,363,1277,75,95,112.46700000000001,41.129,53.806000000000004,2
49,50,1034,39.758,8,90,54.166000000000004,138.02200000000002,54.32899999999999,140.66899999999998,35,119,37,37,36.287,36.281,82.384,1
50,51,2718,54.468999999999994,25,97,499.163,116.014,499.15,115.257,469,86,59,59,58.82899999999999,58.826,85.215,1
51,52,2128,46.048,21,82,763.035,152.997,763.852,152.005,737,127,52,52,52.053000000000004,52.052,94.635,1
52,53,1433,40.957,19,74,964.6610000000001,136.51,964.737,135.709,943,115,43,43,42.717,42.711999999999996,86.285,1
53,54,2327,59.677,38,89,967.58,290.492,967.962,290.126,940,263,55,55,54.431999999999995,54.431000000000004,95.52799999999999,1
54,55,3107,45.397,21,81,1089.753,180.028,1089.7169999999999,179.391,1058,148,63,63,63.161,62.633,142.782,1
55,56,3801,50.655,27,88,1223.721,416.005,1223.1889999999999,417.291,1188,381,70,70,69.84,69.296,116.92399999999999,1
56,57,2444,48.036,26,82,1421.734,303.966,1422.396,303.76,1393,276,56,56,56.027,55.541000000000004,69.413,1
57,58,2159,41.632,18,71,1221.0539999999999,84.71600000000001,1223.2069999999999,84.829,1194,58,53,53,52.611000000000004,52.25,69.078,1
58,59,2260,54.981,34,77,1355.067,60.0,1355.214,60.207,1328,33,54,54,53.643,53.641999999999996,90.0,1
59,60,2110,48.711000000000006,29,100,1513.3239999999998,146.75799999999998,1513.886,145.003,1487,120,52,53,51.923,51.74100000000001,121.906,1
60,61,2189,47.387,21,76,1633.384,149.976,1633.985,149.972,1606,123,54,53,52.919,52.668,10.241,1
61,62,3078,56.122,34,88,1756.096,210.002,1755.8370000000002,209.644,1724,178,63,63,62.603,62.602,89.02600000000001,1
62,63,890,60.656000000000006,38,91,1416.175,139.99200000000002,1416.515,139.935,1399,123,34,34,33.666,33.659,92.569,1
63,64,1393,33.658,13,79,1843.352,333.964,1843.906,332.918,1823,311,40,46,47.744,37.148,59.461999999999996,1
64,65,2310,48.052,33,75,1986.845,214.02200000000002,1987.557,213.332,1959,186,55,55,54.347,54.118,114.61,1
65,66,2486,47.928000000000004,30,82,1846.4389999999999,404.565,1846.589,405.591,1819,375,54,59,61.448,51.512,119.831,1
66,67,2593,40.283,15,83,1623.465,514.043,1623.9170000000001,513.281,1595,484,56,60,62.756,52.608000000000004,55.403999999999996,1
67,68,1634,52.077,33,79,1621.745,614.366,1621.871,614.369,1598,591,46,46,45.736000000000004,45.488,139.71,1
68,69,2327,45.611000000000004,19,86,1535.828,439.958,1536.9589999999998,438.664,1508,412,55,55,54.65,54.214,35.201,1
69,70,2743,58.532,36,103,1449.771,602.672,1449.537,602.6519999999999,1420,573,59,59,59.115,59.07899999999999,97.197,1
70,71,2816,42.442,16,77,1807.8370000000002,569.362,1809.7220000000002,569.819,1777,539,61,60,59.925,59.832,166.518,1
71,72,4360,43.07,14,84,1261.09,654.995,1260.94,653.8340000000001,1223,617,75,75,74.508,74.507,92.921,1
72,73,5032,52.14,27,89,1485.043,708.008,1484.464,707.53,1444,667,81,81,80.043,80.043,79.931,1
73,74,2702,37.313,9,77,838.1339999999999,686.9960000000001,838.2660000000001,689.177,808,657,59,59,58.655,58.653,91.904,1
74,75,1674,52.292,19,101,1061.096,779.992,1062.7160000000001,778.79,1037,756,47,47,46.168,46.166000000000004,94.645,1
