, ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle,class
0,1,1794,85.26299999999999,59,110,454.849,379.235,454.908,379.231,425,357,59,44,63.778999999999996,35.814,151.476,0
1,2,1615,68.967,51,94,187.218,504.595,187.13099999999997,504.426,158,484,58,40,60.54,33.966,156.136,0
2,3,3728,65.057,35,93,314.475,841.992,314.487,843.1560000000001,274,811,80,62,81.311,58.376000000000005,159.61,0
3,4,4804,56.347,27,80,242.135,1113.996,241.09900000000002,1114.099,196,1080,92,67,92.385,66.208,177.327,0
4,5,4933,48.56399999999999,29,77,233.12599999999998,1049.025,234.268,1048.738,193,1007,79,83,88.863,70.681,129.349,0
5,6,6264,61.248999999999995,37,87,90.389,1061.45,90.664,1061.134,42,1018,96,87,100.279,79.53399999999999,147.756,0
6,7,4792,55.56,28,87,526.164,1214.031,527.497,1213.4660000000001,484,1176,84,75,87.49700000000001,69.732,149.879,0
7,8,7678,50.18,24,76,759.048,1120.024,758.672,1119.934,710,1063,97,114,127.444,76.708,54.448,0
8,9,7359,54.336999999999996,29,86,888.046,1178.03,888.3530000000001,1178.796,849,1115,77,125,124.939,74.995,97.309,0
9,10,3540,66.39,39,99,1009.0419999999999,1154.7269999999999,1008.757,1154.118,971,1120,75,69,86.535,52.086000000000006,39.863,0
10,11,11651,59.385,22,95,1349.354,1323.995,1347.481,1325.16,1275,1270,149,108,157.033,94.46700000000001,155.672,0
11,12,6331,49.349,20,75,1422.092,1274.016,1423.671,1273.133,1355,1231,133,85,147.309,54.721000000000004,28.291999999999998,0
12,13,5365,39.904,12,68,1281.346,1568.818,1282.155,1564.775,1249,1512,65,113,115.917,58.928999999999995,74.685,0
13,14,15859,48.143,16,78,1028.0439999999999,1598.783,1026.9360000000001,1600.91,965,1506,126,185,199.59599999999998,101.166,64.279,0
14,15,16813,51.912,20,89,1618.6789999999999,1402.024,1620.0439999999999,1401.3139999999999,1531,1326,175,152,205.47400000000002,104.18299999999999,38.330999999999996,0
15,16,10819,49.345,21,79,1509.349,1475.36,1508.0870000000002,1474.5739999999998,1435,1420,149,110,165.132,83.419,149.931,0
16,17,6533,55.842,21,89,1647.401,1535.296,1646.474,1535.999,1592,1492,110,87,122.258,68.03699999999999,31.647,0
17,18,16578,62.541000000000004,28,100,710.0419999999999,1477.9920000000002,708.5039999999999,1478.045,595,1419,230,118,242.47799999999998,87.05,159.739,0
18,19,5985,48.93,28,72,930.09,1367.994,930.0210000000001,1368.433,876,1320,107,96,130.468,58.408,139.951,0
19,20,4699,52.824,18,85,655.099,1341.037,652.222,1339.4470000000001,609,1305,91,71,95.66799999999999,62.538999999999994,154.067,0
20,21,7124,46.623999999999995,13,79,720.071,1393.999,720.802,1392.881,661,1354,117,79,117.51700000000001,77.185,9.686,0
21,22,20972,63.945,22,111,368.05699999999996,1480.99,371.786,1478.28,271,1400,193,161,219.541,121.62799999999999,35.008,0
22,23,10457,38.967,13,67,1200.63,1278.96,1199.562,1278.757,1134,1226,133,105,139.355,95.542,155.16899999999998,0
23,24,4584,46.291000000000004,23,69,1748.124,1113.019,1748.8010000000002,1113.366,1705,1077,86,72,92.415,63.156000000000006,149.871,0
24,25,6679,58.943999999999996,25,94,1974.547,1110.485,1972.43,1110.768,1926,1063,97,95,111.899,75.997,43.413000000000004,0
25,26,6931,37.926,8,88,1841.131,1370.0,1847.3010000000002,1363.135,1788,1316,106,107,133.97799999999998,65.868,45.693999999999996,0
26,27,2242,64.46300000000001,40,91,1856.102,446.05699999999996,1855.9620000000002,445.709,1824,417,63,58,76.578,37.277,41.022,0
27,28,2855,72.283,50,98,985.7260000000001,283.033,985.41,283.467,951,251,68,63,80.15100000000001,45.353,40.762,0
28,29,2209,63.106,41,88,1076.423,736.7860000000001,1076.042,736.308,1041,716,71,41,70.336,39.988,1.3130000000000002,0
29,30,4241,103.17,74,134,211.165,130.515,211.544,130.52700000000002,174,93,74,74,73.58800000000001,73.37899999999999,17.407,2
30,31,8248,86.162,26,128,563.068,237.002,560.414,237.993,511,185,103,103,102.478,102.478,88.663,2
31,32,2869,70.293,44,104,456.176,608.514,456.065,607.945,425,578,61,61,60.672,60.208,79.483,2
32,33,7344,88.236,61,132,46.028999999999996,790.002,45.756,789.821,0,741,94,98,97.56299999999999,95.84200000000001,87.005,2
33,34,6473,73.03399999999999,49,102,416.736,998.363,416.055,998.2139999999999,371,952,91,92,90.806,90.76100000000001,140.998,2
34,35,4419,88.824,64,117,1569.655,548.985,1569.374,548.734,1532,511,75,75,75.173,74.847,76.435,2
35,36,4346,92.51100000000001,65,121,1900.124,48.993,1899.692,49.58,1862,11,75,75,74.388,74.387,93.085,2
36,37,3917,65.923,42,95,498.49,874.623,498.836,874.683,462,839,72,71,70.654,70.58800000000001,15.895999999999999,2
37,38,2948,62.48,41,98,1406.2089999999998,881.4889999999999,1405.656,880.878,1375,850,62,62,61.669,60.86600000000001,153.105,2
38,39,3900,58.644,33,92,1522.119,976.0,1520.618,975.98,1486,940,71,71,70.468,70.46600000000001,90.0,2
39,40,3143,68.389,40,93,1578.652,897.9630000000001,1578.344,897.9060000000001,1546,866,64,64,63.352,63.167,24.505,2
40,41,2419,48.915,26,100,453.05199999999996,489.98400000000004,453.282,488.05300000000005,436,444,34,92,92.01100000000001,33.474000000000004,93.807,2
41,42,2949,33.669000000000004,4,69,1426.036,359.059,1425.6329999999998,358.48400000000004,1407,308,38,102,101.961,36.826,92.087,2
42,43,1803,41.835,21,95,244.234,591.005,244.882,591.055,204,576,80,29,80.008,28.693,1.433,2
43,44,3443,34.796,13,58,31.041,1200.964,30.851999999999997,1201.143,10,1146,41,110,109.786,39.93,86.86399999999999,2
44,45,2660,42.887,19,74,106.221,1320.004,106.469,1319.5420000000001,48,1303,116,33,116.51700000000001,29.066999999999997,7.648,2
45,46,3908,32.181,8,70,206.118,1448.975,201.521,1447.9520000000002,136,1428,140,42,141.338,35.205,8.906,2
46,47,2720,27.855999999999998,6,61,506.106,1634.033,510.149,1633.405,447,1615,117,38,118.689,29.179000000000002,11.74,2
47,48,1019,42.937,23,99,687.038,979.9789999999999,687.216,976.794,678,944,18,72,72.014,18.016,88.43799999999999,2
48,49,1984,42.528999999999996,19,87,600.269,981.9889999999999,597.48,981.2719999999999,550,968,100,28,100.545,25.124000000000002,6.891,2
49,50,2264,40.339,15,81,879.2769999999999,965.003,880.7389999999999,963.687,838,947,82,36,82.081,35.119,1.131,2
50,51,1506,44.342,17,75,959.2410000000001,570.007,959.946,569.248,925,554,67,31,66.914,28.656,10.218,2
51,52,1608,67.882,36,107,333.11800000000005,85.99799999999999,332.971,85.064,310,63,46,46,45.248999999999995,45.247,90.90899999999999,1
52,53,1706,68.594,38,97,148.096,209.0,148.482,208.872,124,185,47,47,46.607,46.606,90.0,1
53,54,3154,62.176,36,105,303.14799999999997,360.99199999999996,303.454,359.80800000000005,271,329,64,64,63.372,63.369,93.071,1
54,55,2018,31.796999999999997,3,69,886.0889999999999,37.001999999999995,886.433,36.010999999999996,860,11,51,51,50.69,50.68899999999999,88.40899999999999,1
55,56,3014,59.437,31,100,845.15,178.986,844.393,178.22299999999998,813,147,63,63,61.949,61.946000000000005,95.29700000000001,1
56,57,2586,64.818,41,102,112.135,390.02,111.95299999999999,389.21,83,361,58,58,57.382,57.38,81.663,1
57,58,1060,49.229,30,74,413.19199999999995,654.997,413.42800000000005,655.183,394,636,37,37,36.741,36.733000000000004,90.84700000000001,1
58,59,1000,58.247,31,89,296.192,744.988,295.606,744.552,278,727,36,36,35.687,35.678000000000004,93.57600000000001,1
59,60,1774,45.511,25,79,193.05599999999998,865.99,193.838,865.944,169,842,48,48,47.526,47.526,100.305,1
60,61,756,56.79,38,76,124.214,887.0,124.042,886.85,108,871,32,32,31.031,31.019000000000002,90.0,1
61,62,910,46.026,27,74,567.178,722.9810000000001,567.344,722.98,549,705,35,35,34.043,34.035,95.991,1
62,63,1396,58.246,33,94,529.082,625.009,529.618,625.298,507,603,43,43,42.16,42.159,83.991,1
63,64,1960,56.31100000000001,34,90,657.107,613.997,657.9839999999999,614.39,632,589,50,50,49.956,49.955,91.637,1
64,65,2430,60.228,33,102,706.1060000000001,414.009,706.7,412.39599999999996,678,386,56,56,55.623999999999995,55.623000000000005,85.34700000000001,1
65,66,1920,65.766,45,96,640.069,384.995,640.331,384.70099999999996,615,360,50,50,49.443000000000005,49.443000000000005,94.33200000000001,1
66,67,3310,68.142,42,105,826.143,468.024,826.0210000000001,467.327,793,435,66,66,64.92,64.917,80.303,1
67,68,1060,58.152,33,88,715.192,822.997,715.302,822.936,696,804,37,37,36.741,36.733000000000004,90.84700000000001,1
68,69,954,60.849,35,88,754.176,787.0089999999999,754.6439999999999,786.31,736,769,35,35,34.856,34.849000000000004,86.934,1
69,70,2052,46.99100000000001,22,83,490.035,1090.004,490.189,1088.243,464,1064,52,52,51.115,51.114,83.66,1
70,71,2496,44.613,19,82,973.123,1045.0,971.795,1044.096,944,1016,57,57,56.375,56.373000000000005,90.0,1
71,72,1020,42.66,22,71,1156.142,838.9739999999999,1157.1589999999999,838.8589999999999,1137,820,37,37,36.04,36.035,100.54799999999999,1
72,73,2034,56.411,33,90,1311.122,574.992,1311.349,574.259,1285,549,51,51,50.891000000000005,50.888999999999996,93.921,1
73,74,1130,47.705,26,77,1126.156,598.004,1126.786,597.118,1107,579,38,38,37.934,37.928000000000004,88.37299999999999,1
74,75,1146,47.961999999999996,26,81,1215.115,152.997,1215.2069999999999,152.311,1195,133,39,39,38.2,38.196999999999996,91.302,1
75,76,2368,61.038000000000004,36,87,1065.123,89.978,1064.923,89.572,1037,62,56,56,54.91,54.908,100.098,1
76,77,546,61.803999999999995,40,92,1024.229,44.996,1023.796,44.619,1010,31,27,27,26.374000000000002,26.358,90.917,1
77,78,1120,55.591,27,99,1550.18,102.01100000000001,1549.69,101.40899999999999,1531,83,38,38,37.766,37.759,86.6,1
78,79,1224,57.871,26,107,1722.168,112.0,1722.8870000000002,110.306,1702,92,40,40,39.48,39.474000000000004,90.0,1
79,80,1556,53.178000000000004,25,96,1626.078,238.002,1627.681,237.426,1603,215,45,45,44.511,44.51,88.58,1
80,81,1958,76.329,50,106,1177.0539999999999,353.994,1177.126,352.99300000000005,1152,329,50,50,49.93,49.93,96.52,1
81,82,1958,72.283,49,105,1257.0539999999999,319.994,1257.014,320.54,1232,295,50,50,49.93,49.93,96.52,1
82,83,1334,70.60600000000001,40,101,1258.15,436.014,1257.684,436.23,1237,415,42,42,41.215,41.211000000000006,84.573,1
83,84,718,69.255,44,92,1254.203,494.001,1254.288,493.9,1238,478,31,31,30.241,30.23,89.60799999999999,1
84,85,1050,60.518,36,91,957.166,420.01,956.952,420.287,938,401,37,37,36.567,36.561,86.383,1
85,86,1386,64.16199999999999,39,92,1004.102,382.98400000000004,1004.694,382.532,982,361,43,43,42.00899999999999,42.007,98.868,1
86,87,3686,44.725,17,83,1594.162,743.995,1593.4129999999998,740.655,1559,709,69,69,68.508,68.505,91.634,1
87,88,2792,57.381,35,83,1495.1470000000002,735.0,1495.261,734.6310000000001,1465,705,60,60,59.623999999999995,59.621,90.0,1
88,89,1930,64.01100000000001,43,94,1405.0539999999999,722.997,1405.259,723.6080000000001,1380,698,50,50,49.571999999999996,49.571000000000005,93.27,1
89,90,2480,64.71,45,100,1298.123,728.9839999999999,1298.282,728.0189999999999,1270,701,56,56,56.193999999999996,56.192,97.49600000000001,1
90,91,1438,62.086000000000006,39,85,1182.062,784.9960000000001,1182.31,784.695,1160,763,43,43,42.79,42.788999999999994,93.85700000000001,1
91,92,2886,54.167,37,77,885.128,777.013,885.1469999999999,776.8589999999999,854,746,61,61,60.619,60.617,84.289,1
92,93,990,54.055,32,75,1055.125,856.003,1055.333,855.568,1037,838,36,36,35.505,35.501999999999995,88.61399999999999,1
93,94,3738,53.523999999999994,32,78,1255.212,1033.998,1254.645,1034.2069999999999,1220,999,69,69,68.991,68.986,90.434,1
94,95,1800,58.104,34,85,1317.075,964.998,1317.36,964.3969999999999,1292,940,49,49,47.873999999999995,47.873000000000005,91.273,1
95,96,3074,60.159,32,102,1127.153,1048.002,1127.7060000000001,1048.7269999999999,1095,1016,63,63,62.563,62.56,89.39,1
96,97,1930,44.301,25,72,1797.0539999999999,978.997,1796.52,979.0369999999999,1772,954,50,50,49.571999999999996,49.571000000000005,93.27,1
97,98,1086,48.105,26,84,1799.161,909.985,1798.066,910.09,1780,891,38,38,37.188,37.181999999999995,95.22399999999999,1
98,99,1674,59.148,34,92,1733.095,828.9960000000001,1733.275,828.681,1709,805,47,47,46.168,46.166000000000004,92.161,1
99,100,2366,40.287,5,87,1685.0810000000001,1023.003,1686.922,1020.758,1657,995,55,55,54.887,54.886,88.20100000000001,1
100,101,1786,23.9,4,61,1783.0179999999998,1588.003,1785.6589999999999,1586.4279999999999,1759,1564,48,48,47.687,47.687,79.695,1
101,102,1186,34.514,12,66,1923.112,1636.013,1925.116,1636.082,1903,1616,39,39,38.861,38.858000000000004,83.14,1
102,103,1272,49.72,22,81,1897.0870000000002,681.99,1898.098,682.48,1876,661,41,41,40.245,40.243,96.68,1
103,104,1674,60.528999999999996,41,95,1771.096,613.992,1771.64,614.001,1747,590,47,47,46.168,46.166000000000004,94.645,1
104,105,2136,53.571000000000005,36,73,2010.067,398.0,2010.546,397.824,1984,372,52,52,52.151,52.15,90.0,1
105,106,1786,59.257,39,83,1725.0179999999998,490.00300000000004,1724.747,490.17400000000004,1701,466,48,48,47.687,47.687,79.695,1
