, ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle,class
0,1,3860,114.56200000000001,59,175,441.621,297.982,441.418,298.469,410,258,62,80,79.962,61.463,89.209,0
1,2,4306,90.745,26,138,502.587,379.531,500.416,378.34,469,337,66,85,84.551,64.843,101.135,0
2,3,2203,132.88,62,224,419.079,516.464,417.154,517.4630000000001,394,486,49,60,60.335,46.489,110.04700000000001,0
3,4,933,62.143,30,94,34.034,219.595,34.063,218.794,22,190,24,58,58.549,20.29,78.226,0
4,5,3387,85.758,5,145,937.186,480.474,936.789,478.833,904,447,65,67,68.296,63.144,119.87799999999999,0
5,6,14803,149.15,61,211,852.097,313.009,851.565,315.518,745,268,214,89,214.59099999999998,87.831,3.7880000000000003,0
6,7,198,132.566,87,179,26.298000000000002,724.1619999999999,26.201,724.291,15,718,22,12,20.927,12.047,6.058,0
7,8,1915,179.919,120,238,454.62300000000005,695.508,454.656,697.043,429,670,50,50,49.38,49.376999999999995,86.12100000000001,2
8,9,258,175.984,148,209,323.182,925.806,323.181,925.89,313,916,19,19,18.297,17.954,39.684,2
9,10,1175,151.317,118,200,776.08,947.32,776.12,947.143,756,927,39,40,38.778,38.58,69.135,2
10,11,1350,151.748,109,191,796.12,623.384,796.105,623.132,775,602,42,42,41.566,41.353,153.447,2
11,12,18343,129.083,29,218,648.0840000000001,829.3489999999999,645.05,829.9010000000001,567,756,162,146,162.947,143.329,14.968,2
12,13,1766,52.158,4,184,521.519,750.6160000000001,522.439,748.503,491,723,60,55,75.455,29.8,42.133,2
13,14,2211,37.501999999999995,4,170,440.235,954.648,442.898,956.645,397,916,85,77,111.40100000000001,25.27,137.92,2
14,15,1218,30.7,6,110,242.013,91.521,240.42,93.209,212,60,59,62,82.838,18.721,46.441,2
15,16,518,85.521,54,139,92.81700000000001,310.077,93.11399999999999,309.51099999999997,79,297,26,26,25.895,25.47,112.73899999999999,1
16,17,326,105.037,64,156,75.528,281.96299999999997,75.265,282.211,65,271,21,21,20.494,20.254,16.037,1
17,18,395,62.218,2,149,240.96099999999998,250.768,241.476,249.31799999999998,229,239,23,23,22.493000000000002,22.36,153.411,1
18,19,360,96.836,53,159,70.172,550.631,69.488,550.2769999999999,59,539,22,22,21.502,21.316999999999997,173.417,1
19,20,325,102.335,68,157,330.915,562.0169999999999,331.16900000000004,562.2330000000001,320,551,21,21,20.435,20.25,142.499,1
20,21,153,109.62100000000001,57,169,359.36300000000006,417.70300000000003,359.43,417.421,352,410,14,15,13.974,13.94,145.886,1
21,22,328,83.854,36,151,696.168,353.99699999999996,696.9060000000001,354.145,685,343,21,21,20.441,20.43,91.042,1
22,23,1455,74.354,31,139,716.561,549.502,716.919,549.9630000000001,695,528,43,43,43.042,43.041000000000004,88.069,1
23,24,1128,66.957,33,103,804.638,122.994,804.841,123.569,785,104,38,38,38.185,37.611999999999995,58.92100000000001,1
24,25,249,61.787,41,117,774.155,714.018,774.325,713.919,765,705,18,18,17.873,17.738,33.189,1
25,26,267,48.438,12,104,787.6389999999999,739.4739999999999,789.2360000000001,739.862,778,730,19,19,18.442,18.434,100.713,1
26,27,490,85.163,41,177,635.243,726.502,635.991,727.169,622,714,26,25,25.052,24.903000000000002,93.07600000000001,1
27,28,326,77.764,37,127,304.212,786.9939999999999,303.88,786.529,293,776,21,21,20.382,20.365,91.66,1
28,29,452,71.288,43,126,318.478,806.878,319.433,807.341,306,794,24,25,24.07,23.909000000000002,92.29799999999999,1
29,30,347,57.803999999999995,17,143,318.731,966.7310000000001,319.524,965.8610000000001,308,956,21,21,21.063000000000002,20.976,130.687,1
30,31,835,77.047,36,142,208.995,809.5930000000001,209.74200000000002,809.6619999999999,192,793,33,33,32.991,32.225,55.456,1
31,32,347,78.922,32,125,90.215,806.549,89.946,806.943,79,795,22,22,24.133000000000003,18.308,44.475,1
32,33,193,89.85,52,138,158.764,848.961,159.269,849.063,150,841,17,16,17.928,13.707,141.261,1
33,34,268,98.896,51,174,136.369,889.507,136.904,889.7330000000001,126,881,20,17,20.967,16.275,155.52700000000002,1
34,35,405,90.928,68,126,94.414,892.493,94.40100000000001,892.4110000000001,83,879,22,26,25.885,19.921,107.43,1
35,36,942,79.988,44,151,576.144,978.975,577.372,978.2589999999999,558,961,36,36,39.516999999999996,30.351,134.986,1
36,37,237,65.861,35,119,549.61,988.943,549.14,988.8530000000001,540,980,19,17,19.982,15.100999999999999,149.491,1
37,38,331,85.414,47,157,30.213,913.4730000000001,30.544,913.946,19,903,22,21,23.426,17.99,138.346,1
