 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,4328,145.095,41,217,149.627,85.503,148.751,86.991,106,50,87,71,95.870,57.480,32.380
2,359,84.515,58,122,245.511,121.979,245.331,121.937,231,113,28,17,27.891,16.388,172.679
3,340,97.829,58,143,168.247,168.515,168.159,168.585,154,160,27,17,26.674,16.229,13.523
4,315,89.171,60,134,131.833,242.214,131.847,241.781,121,231,21,23,25.986,15.434,126.646
5,763,149.527,87,206,322.104,188.382,321.954,188.636,308,168,27,40,40.377,24.060,71.556
6,232,119.681,65,162,313.931,255.586,314.279,255.495,302,248,23,14,22.350,13.217,172.447
7,645,110.051,63,167,161.892,311.981,161.805,311.366,144,298,35,27,36.838,22.293,28.104
8,415,78.501,52,125,219.271,423.657,219.321,423.773,205,412,27,23,29.538,17.888,146.152
9,364,69.385,41,121,488.008,69.099,488.110,69.406,475,58,25,22,27.784,16.681,37.616
10,303,66.158,45,101,362.992,31.738,363.220,31.639,350,22,25,19,27.256,14.154,34.281
11,211,94.905,60,121,540.173,186.818,540.023,186.667,533,175,14,23,22.869,11.748,71.582
12,213,80.455,51,108,739.167,180.129,739.181,180.488,728,172,21,16,22.944,11.820,146.321
13,834,98.396,60,153,984.129,188.978,984.180,188.995,966,171,36,36,45.514,23.331,45.005
14,1731,150.099,76,238,863.067,165.499,863.030,165.938,839,141,47,49,53.211,41.420,129.753
15,3189,137.022,55,235,883.190,335.221,883.164,335.716,853,300,60,70,72.552,55.965,117.553
16,730,103.648,55,164,657.677,349.797,657.309,349.849,644,332,27,35,34.501,26.940,91.511
17,786,87.346,30,140,949.179,381.352,948.826,380.397,934,363,29,36,35.942,27.844,78.192
18,301,72.917,40,112,496.184,276.610,495.953,276.484,484,267,23,18,22.354,17.145,172.059
19,373,88.244,51,126,410.130,517.886,410.236,518.241,400,503,19,30,30.761,15.439,111.582
20,1847,96.654,40,152,172.480,530.032,172.915,530.121,147,504,50,52,59.672,39.410,46.577
21,311,68.775,30,97,85.783,552.947,85.625,553.247,78,537,15,31,31.311,12.646,105.194
