 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,1022,124.215,86,157,665.639,172.052,665.496,172.228,646,153,38,38,43.090,30.199,42.803
2,956,122.715,87,169,688.176,79.488,688.367,79.528,668,63,40,32,41.701,29.189,23.994
3,597,86.184,63,136,61.642,257.894,61.941,257.975,46,240,31,35,41.795,18.187,130.539
4,298,74.966,51,134,354.174,64.775,354.386,64.657,344,52,20,25,29.028,13.071,55.907
5,350,76.877,49,112,185.783,325.954,185.662,325.579,170,317,30,18,31.174,14.295,156.883
6,916,114.379,79,150,245.133,618.936,245.488,618.509,230,598,30,41,40.786,28.595,101.611
7,1425,110.449,73,144,739.079,611.979,739.600,611.907,718,588,41,48,51.195,35.440,119.750
8,1122,112.987,79,148,948.169,591.506,948.032,591.298,926,574,44,34,45.410,31.460,20.936
9,735,137.952,104,177,79.720,668.511,79.238,668.571,61,652,36,32,42.305,22.121,38.784
10,651,132.359,86,172,56.724,696.506,57.510,696.143,38,683,37,27,39.832,20.809,28.199
11,888,128.065,98,165,250.622,678.090,250.515,678.072,235,658,31,40,42.754,26.445,117.444
12,2436,115.372,69,157,538.296,766.929,538.671,766.666,507,739,62,55,70.172,44.200,143.300
13,1075,101.295,46,135,857.079,794.101,857.252,794.625,835,773,43,41,52.081,26.281,136.906
14,951,122.915,59,167,869.873,758.986,870.328,758.157,849,743,41,31,40.803,29.676,13.872
15,511,117.472,91,151,518.220,598.422,518.241,598.739,505,585,26,27,29.686,21.917,133.325
16,530,122.355,94,149,506.932,566.111,507.024,566.110,493,553,27,26,30.263,22.298,39.784
17,1293,135.787,75,202,741.451,801.003,741.019,801.137,721,779,40,44,47.196,34.882,125.281
18,1351,129.363,81,164,698.826,776.969,698.373,776.604,674,759,49,36,48.308,35.608,10.472
19,2027,110.693,56,152,852.693,954.596,852.850,955.216,826,928,53,52,59.315,43.511,137.221
20,1593,134.766,88,185,413.375,823.926,413.270,823.592,393,797,40,53,52.436,38.681,87.278
21,922,117.252,91,142,418.576,874.706,418.715,874.779,391,863,54,23,53.846,21.801,2.125
22,2359,150.248,112,198,446.623,978.044,447.187,978.107,408,956,76,43,76.915,39.051,13.709
23,2082,128.971,82,166,315.633,981.957,315.534,981.675,290,954,50,56,59.883,44.268,123.405
24,1559,128.826,78,180,28.566,969.988,28.584,968.522,11,939,34,61,60.437,32.844,83.771
25,697,117.805,80,151,275.088,842.097,274.928,841.858,263,821,23,41,40.464,21.932,81.523
26,900,113.154,68,151,986.989,771.506,986.635,771.482,967,756,39,30,39.825,28.774,14.396
27,1194,100.296,67,135,989.275,645.399,989.659,645.441,969,625,40,40,43.146,35.235,136.751
28,931,109.119,73,153,533.379,476.149,533.646,476.157,512,461,42,30,42.917,27.620,157.596
29,400,120.890,80,144,164.817,577.278,164.809,577.508,155,563,19,28,28.040,18.163,105.063
30,452,58.553,25,130,169.363,550.053,170.190,548.532,158,535,22,29,29.848,19.281,62.961
31,1564,130.510,65,187,65.857,41.704,63.732,41.710,43,19,45,45,45.186,44.070,157.339
32,1733,163.197,122,226,215.686,180.401,215.762,180.292,192,156,47,48,47.709,46.250,110.126
33,1222,161.880,113,206,304.112,256.276,304.474,256.229,284,236,40,40,39.954,38.942,101.638
34,1148,169.426,138,213,325.863,113.575,326.053,113.434,306,94,39,39,38.818,37.655,107.978
35,1928,141.359,24,204,447.798,334.696,448.803,337.345,423,309,49,51,50.366,48.739,127.885
36,1680,163.218,121,225,413.641,414.806,413.877,414.700,390,391,47,47,46.880,45.628,147.892
37,2155,164.406,104,222,404.096,495.215,403.978,494.898,377,469,53,52,53.007,51.764,136.198
38,1555,166.350,133,215,361.809,551.162,361.962,551.024,337,531,49,40,49.892,39.683,165.749
39,956,110.323,49,157,25.182,574.740,25.919,575.505,7,557,35,35,37.328,32.608,129.252
40,4349,150.786,59,223,319.629,717.502,318.033,718.589,279,682,80,70,79.604,69.561,3.770
41,1449,151.751,95,201,469.600,708.982,470.591,709.066,446,688,46,42,45.669,40.398,19.911
42,3001,153.175,82,217,519.632,820.542,518.972,820.601,486,791,66,59,66.099,57.807,18.047
43,4726,159.087,86,222,559.598,869.497,558.180,870.748,521,829,76,81,82.426,73.003,60.977
44,5612,143.510,83,216,628.138,879.971,628.152,880.256,580,842,95,76,94.589,75.542,7.229
45,5897,155.455,69,248,201.562,970.013,200.517,969.821,158,926,87,87,86.824,86.477,58.358
46,1668,110.815,44,161,66.119,848.484,67.812,849.965,42,825,47,47,46.333,45.837,21.564
47,2870,144.134,60,227,848.672,373.984,849.530,371.724,818,343,61,61,60.700,60.201,89.467
48,1558,97.436,25,172,879.113,533.533,881.995,532.570,856,511,45,45,44.739,44.340,96.424
49,1284,172.384,134,211,932.634,287.015,932.626,287.114,912,266,41,41,40.624,40.243,39.853
50,2355,161.361,120,222,819.125,177.401,819.153,177.463,789,150,59,54,63.609,47.139,144.390
51,996,127.155,88,162,1003.357,538.982,1003.073,539.305,985,521,36,36,35.721,35.501,75.992
52,1229,148.007,90,198,929.634,202.506,929.392,203.063,909,182,40,40,39.560,39.556,87.571
53,1299,181.073,149,213,920.607,118.504,920.607,118.654,900,98,41,41,40.670,40.668,87.940
54,1387,156.392,120,196,967.041,64.925,966.993,64.990,945,43,43,43,42.063,41.985,95.326
55,1196,161.947,119,200,1004.160,49.834,1004.603,49.914,984,30,40,39,39.174,38.873,107.523
56,875,114.886,78,159,439.559,702.228,439.295,701.701,422,685,34,34,33.383,33.373,171.950
57,1362,130.548,98,183,939.631,846.482,939.738,846.582,917,826,45,40,45.015,38.524,156.726
58,909,107.378,65,157,607.524,685.235,608.427,684.315,590,666,34,38,40.159,28.820,54.198
59,543,38.352,0,96,512.075,416.668,514.560,413.137,498,398,27,37,41.271,16.752,57.553
60,798,45.893,1,95,342.764,326.533,341.114,325.478,318,313,48,26,49.900,20.361,160.542
61,748,83.521,46,174,777.314,561.019,777.125,560.808,755,546,44,30,48.356,19.695,149.964
62,513,75.078,36,132,886.568,701.658,886.500,702.218,875,682,22,38,39.879,16.379,67.956
63,488,76.043,51,106,162.252,792.459,162.435,792.349,143,782,37,21,39.024,15.922,157.071
