 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,2297,101.842,62,138,89.221,386.944,89.311,387.031,60,360,57,53,58.088,50.348,28.364
2,2304,113.067,83,151,200.150,352.959,199.999,352.892,171,327,58,51,58.420,50.215,171.778
3,1663,105.046,59,144,125.648,431.505,125.844,432.270,101,408,48,46,49.720,42.587,144.967
4,1749,126.655,79,171,227.137,292.748,227.247,292.900,201,267,52,51,61.930,35.958,136.747
5,1855,127.869,82,168,363.905,256.498,363.801,256.542,341,227,45,58,61.526,38.388,118.404
6,3139,111.358,57,169,302.308,357.616,300.662,356.556,259,332,86,51,87.847,45.496,161.836
7,517,104.497,73,125,269.730,378.721,269.480,378.738,253,366,32,25,35.683,18.447,146.853
8,2695,139.692,69,190,498.557,207.660,496.870,206.969,454,185,88,45,89.610,38.292,164.548
9,2004,151.627,103,193,582.069,152.279,582.185,152.518,563,114,38,76,77.408,32.963,105.681
10,598,133.888,98,158,639.082,164.416,639.150,164.380,622,147,33,34,42.412,17.952,46.321
11,492,96.022,68,126,641.813,115.740,641.590,115.728,622,107,39,17,38.338,16.340,3.262
12,581,138.169,106,175,674.417,101.863,674.486,101.921,661,86,26,32,34.119,21.681,119.585
13,294,120.439,88,150,721.031,100.595,721.416,100.271,709,91,23,19,24.350,15.373,30.623
14,459,119.479,86,143,783.069,90.644,783.476,90.586,770,78,25,25,28.976,20.169,44.108
15,472,159.936,116,203,819.331,106.672,819.847,106.714,808,91,22,31,29.505,20.368,95.221
16,1377,157.504,112,206,860.540,74.255,860.388,74.825,833,51,54,46,64.484,27.189,39.968
17,769,152.962,93,204,939.577,185.015,940.135,185.407,922,169,34,32,37.590,26.047,138.603
18,407,127.899,93,156,937.819,160.557,937.809,160.224,927,147,21,27,27.390,18.920,119.546
19,909,128.879,102,154,722.227,133.063,722.188,133.115,699,118,46,30,48.306,23.959,155.612
20,875,127.681,96,156,692.187,161.483,692.213,161.679,672,143,40,36,47.266,23.570,139.637
21,573,138.799,106,170,679.694,352.477,679.871,352.653,663,338,32,29,38.152,19.123,138.742
22,240,118.804,95,138,615.142,314.917,615.072,314.849,606,303,17,23,24.687,12.378,118.420
23,298,114.983,97,132,617.745,352.966,617.639,352.983,604,344,26,18,27.434,13.831,153.646
24,563,126.885,98,162,497.864,269.734,497.627,269.935,484,252,27,34,38.068,18.830,57.004
25,553,150.076,108,198,478.285,301.992,478.716,301.657,461,289,34,26,37.609,18.722,147.952
26,378,115.772,80,141,463.571,377.537,463.495,377.758,451,364,24,26,30.976,15.538,131.299
27,273,139.718,106,162,591.661,238.881,591.720,238.971,580,228,22,21,26.525,13.104,137.087
28,435,115.389,65,143,466.695,479.486,466.963,479.588,453,466,27,26,33.380,16.593,42.392
29,287,122.962,100,145,377.880,496.197,377.811,496.235,367,484,20,24,26.961,13.553,125.510
30,377,136.260,109,161,562.229,532.609,562.123,532.578,547,522,29,21,31.086,15.441,151.833
31,1696,101.644,34,137,80.150,496.935,78.770,494.786,56,468,47,58,66.112,32.663,124.785
32,589,119.168,85,150,186.232,510.011,186.217,509.915,169,496,34,28,38.750,19.353,146.003
33,397,113.582,90,140,993.737,286.520,993.653,286.211,983,274,21,25,25.353,19.938,73.247
34,726,82.342,51,115,35.678,558.514,35.227,558.129,17,542,36,32,42.485,21.758,140.879
35,477,77.019,49,106,57.928,578.397,58.330,578.832,45,563,25,31,34.482,17.613,122.578
36,242,85.219,65,106,124.645,594.950,124.634,595.179,116,583,16,23,24.085,12.793,115.488
37,248,100.230,80,119,118.673,624.109,118.748,624.143,109,613,18,22,24.968,12.647,124.030
38,366,90.740,64,113,181.891,651.653,182.271,651.893,172,637,19,29,30.410,15.324,114.687
39,319,93.890,60,116,136.873,691.136,136.893,691.115,127,678,19,26,28.169,14.419,59.510
40,273,109.275,79,129,157.698,758.423,157.598,758.404,148,747,19,23,26.207,13.263,124.226
41,297,105.360,78,131,227.056,748.985,226.868,748.950,215,738,23,21,27.160,13.923,140.925
42,272,103.191,82,124,317.239,765.074,317.226,765.233,306,755,22,20,25.992,13.324,42.243
43,306,104.807,76,122,420.484,650.474,420.504,650.557,408,640,25,20,27.905,13.962,32.627
44,357,97.944,66,132,710.506,196.909,710.478,197.263,699,185,23,23,27.175,16.726,136.159
45,290,119.166,99,158,805.983,145.390,806.047,145.304,797,134,17,23,22.579,16.353,80.907
46,570,89.540,49,129,217.400,483.267,218.445,482.565,199,469,35,28,39.663,18.298,34.200
47,235,112.034,89,135,429.577,490.274,429.647,490.231,419,480,20,20,25.342,11.807,46.722
48,410,119.556,65,153,593.888,455.437,594.207,454.882,580,442,27,26,33.590,15.541,40.999
49,271,125.162,105,181,782.566,460.633,782.808,460.730,770,451,24,19,27.275,12.651,145.340
50,336,146.268,115,175,771.196,485.964,771.340,486.129,760,474,21,23,24.733,17.297,125.930
51,417,111.508,69,154,729.169,355.663,729.413,356.018,719,342,20,27,27.149,19.556,86.839
52,364,107.118,76,158,750.168,411.440,750.201,411.206,740,398,19,26,25.620,18.090,100.438
53,362,126.541,101,162,707.326,456.508,707.386,456.365,693,447,28,18,26.970,17.090,178.820
54,314,93.704,72,130,854.490,605.987,854.529,606.230,841,597,26,17,25.338,15.779,167.136
55,329,124.097,101,144,978.880,653.965,978.861,653.994,967,644,23,20,25.919,16.162,146.028
56,397,142.587,115,166,867.500,683.366,867.377,683.420,853,673,28,20,28.202,17.924,19.818
57,528,123.841,85,148,835.061,712.614,834.837,712.415,821,698,27,29,32.793,20.500,129.011
58,403,127.841,102,170,898.289,666.182,898.597,666.182,883,656,29,20,28.436,18.045,11.438
59,351,111.006,89,140,486.970,686.925,486.986,686.927,474,677,25,20,26.433,16.907,148.829
60,464,94.966,74,130,73.233,701.586,73.420,701.310,61,687,24,28,30.520,19.357,52.898
61,525,145.118,88,185,561.982,825.264,562.299,825.730,546,812,30,26,32.487,20.576,145.658
62,492,124.589,100,151,603.195,880.278,603.084,880.163,591,866,24,29,31.511,19.880,121.835
63,274,143.522,118,174,708.734,819.985,708.792,820.015,698,810,21,19,22.379,15.589,145.279
64,152,130.908,110,150,687.599,959.500,687.605,959.538,679,952,16,14,16.549,11.695,30.435
65,196,145.592,118,167,882.592,775.367,882.753,775.186,873,767,18,16,18.820,13.260,32.217
66,196,120.066,96,138,520.500,892.327,520.587,892.194,511,884,18,16,18.804,13.271,35.411
67,229,118.415,99,139,474.801,931.207,474.863,931.228,460,924,28,14,28.526,10.221,161.932
68,316,135.930,109,160,557.177,972.443,557.094,972.399,545,962,24,20,26.023,15.461,30.316
69,192,127.266,101,149,559.182,1014.328,559.038,1014.403,550,1006,18,16,20.405,11.981,39.739
70,305,119.954,98,142,296.900,1003.398,296.906,1003.448,283,995,26,16,25.532,15.210,6.688
71,246,98.622,81,125,262.772,989.252,262.663,989.168,254,979,17,21,22.967,13.638,122.254
72,307,134.319,112,158,981.217,899.910,981.176,899.816,970,889,22,21,25.493,15.333,138.649
73,443,104.298,61,133,226.304,557.486,226.744,557.702,210,547,31,20,30.657,18.398,166.256
74,377,133.501,105,156,888.479,400.031,888.418,400.121,876,389,24,22,25.287,18.982,41.518
75,384,158.406,128,189,981.664,362.424,981.923,362.275,969,351,24,22,25.576,19.116,145.863
76,207,104.966,76,137,315.804,547.944,315.949,547.870,307,539,17,17,18.766,14.045,139.119
77,2264,141.358,97,184,953.586,116.967,953.167,116.318,925,90,56,53,57.420,50.202,147.543
78,1068,158.464,60,202,980.199,46.037,978.921,46.070,960,28,39,36,39.203,34.686,150.436
79,3822,154.456,80,210,546.123,256.496,546.510,256.901,509,222,73,68,74.543,65.282,152.063
80,1080,143.502,67,197,813.135,268.049,812.984,266.741,794,249,37,38,39.705,34.633,128.243
81,2818,133.114,64,188,376.170,411.996,375.765,410.963,346,382,60,60,61.045,58.776,131.367
82,466,168.921,150,202,714.762,404.481,714.796,404.555,702,392,25,25,24.779,23.945,102.750
83,750,146.473,118,183,331.693,583.976,331.744,584.084,315,568,32,31,31.518,30.297,158.266
84,481,126.405,74,150,111.745,573.498,111.587,573.196,99,560,25,26,25.193,24.310,93.541
85,666,125.967,98,161,212.212,630.509,212.459,630.562,197,615,29,30,29.750,28.504,106.530
86,1008,146.101,116,186,297.191,682.522,297.222,682.485,279,664,36,37,36.332,35.325,130.369
87,347,149.888,99,182,360.177,651.486,360.314,651.658,349,640,21,22,21.539,20.512,103.780
88,1444,160.512,98,211,670.583,633.988,670.788,634.185,648,612,44,43,43.641,42.129,144.825
89,1936,171.283,131,219,978.597,717.002,978.805,717.029,953,691,50,51,50.306,49.000,97.339
90,588,166.284,92,204,783.736,779.512,783.724,779.226,769,765,28,28,27.683,27.044,56.691
91,700,161.601,117,203,799.703,835.477,799.623,835.091,784,820,30,31,30.388,29.329,115.486
92,679,171.323,144,204,1006.236,890.007,1006.528,890.070,991,875,30,30,29.863,28.950,125.543
93,1339,150.388,120,198,388.142,771.009,388.100,771.185,367,750,41,42,42.132,40.465,90.992
94,932,104.769,25,154,46.651,850.517,45.638,849.087,29,833,34,35,35.283,33.632,92.580
95,1042,155.883,102,208,442.144,980.014,441.692,980.242,423,961,37,37,36.973,35.883,130.379
96,986,84.411,38,128,138.520,353.533,138.916,351.133,130,312,16,83,83.247,15.081,87.874
97,560,71.764,32,151,397.538,228.966,397.876,226.771,390,204,15,50,49.707,14.344,86.354
98,496,88.966,69,179,402.556,323.552,402.871,322.737,395,300,15,47,47.141,13.396,83.731
99,418,99.967,80,159,840.541,160.608,840.626,160.664,833,139,14,43,42.971,12.386,83.231
100,274,100.113,69,159,869.022,214.493,869.026,214.507,863,197,11,35,34.818,10.020,86.382
101,313,96.642,71,131,901.762,272.970,901.642,272.725,883,267,37,12,36.959,10.783,173.819
102,214,99.738,83,136,953.388,224.000,953.552,223.996,941,218,24,12,23.766,11.465,2.984E-14
103,406,97.296,70,147,865.113,439.429,864.907,439.716,857,423,16,33,33.081,15.626,94.064
104,304,108.141,80,144,921.105,516.961,921.307,516.818,913,502,15,29,28.681,13.496,101.735
105,368,80.641,58,131,425.158,421.000,425.294,421.112,417,405,16,32,32.080,14.606,90.000
106,287,64.387,43,102,272.611,446.925,272.403,446.468,265,432,14,29,28.096,13.006,84.643
107,528,60.225,31,86,182.201,412.000,181.694,411.928,153,406,58,12,56.890,11.817,0.000
108,336,69.676,31,146,191.027,425.107,190.933,426.620,186,402,10,46,45.965,9.307,85.102
109,293,90.901,64,152,380.026,436.933,380.144,436.710,375,415,9,44,44.699,8.346,87.674
110,127,75.622,53,98,502.437,326.878,502.504,326.815,489,323,27,7,25.833,6.259,3.457
111,124,86.605,74,129,512.081,371.097,512.100,371.232,508,361,8,20,20.066,7.868,83.894
112,211,108.957,69,141,555.585,340.841,555.762,340.482,550,327,11,27,26.218,10.247,84.882
113,256,75.477,51,114,477.551,365.758,478.068,365.542,462,360,30,11,29.162,11.177,2.826
114,87,83.966,68,133,487.075,399.029,487.006,399.005,478,395,18,7,17.410,6.362,177.043
115,250,100.856,81,172,677.328,436.960,677.112,436.910,662,431,30,12,28.835,11.039,177.882
116,186,96.070,71,153,672.602,398.704,672.817,398.756,666,388,12,22,21.036,11.258,92.895
117,106,90.217,66,134,769.425,379.981,769.510,380.345,765,371,9,17,16.088,8.389,99.690
118,305,90.961,43,145,802.284,515.995,802.563,515.739,788,508,28,15,27.805,13.967,173.746
119,253,90.625,74,145,643.654,538.370,643.833,538.407,630,531,26,14,25.281,12.742,169.646
120,103,98.816,82,116,839.393,656.995,839.442,657.106,835,649,9,16,15.969,8.212,102.590
121,218,87.977,70,116,544.803,595.601,544.775,595.476,531,590,27,11,26.615,10.429,170.395
122,364,95.132,63,125,719.099,719.986,719.214,719.879,712,702,14,35,34.305,13.510,96.602
123,208,76.154,59,126,199.322,794.481,199.050,794.564,186,789,26,11,25.816,10.258,177.920
124,300,70.007,43,104,196.753,966.503,196.793,966.290,181,960,31,13,30.923,12.352,178.701
125,209,96.081,78,127,472.093,999.026,472.218,999.070,466,986,11,26,26.162,10.172,89.810
126,242,77.169,57,102,400.244,904.438,400.361,904.470,386,898,28,12,27.910,11.040,174.029
127,266,104.771,84,158,950.605,841.981,950.635,841.749,944,829,13,26,25.957,13.048,87.574
128,237,101.257,80,125,801.766,937.951,801.807,938.003,794,927,15,22,22.154,13.621,85.682
129,163,120.380,101,155,770.138,141.003,770.214,140.974,762,133,15,16,18.478,11.232,128.388
130,288,127.691,97,169,934.191,72.514,933.959,72.343,924,62,20,20,19.200,19.099,57.061
131,303,104.010,77,143,862.160,145.441,862.225,145.330,852,135,20,20,19.971,19.318,173.979
132,322,97.953,71,137,814.168,182.205,814.313,182.472,803,172,21,20,20.375,20.122,30.115
133,400,100.438,64,150,760.232,212.002,760.904,211.763,748,200,23,23,22.577,22.558,89.384
134,218,89.890,63,138,936.532,207.665,936.340,207.933,928,199,17,17,16.731,16.590,57.536
135,318,133.478,118,156,999.459,242.953,999.414,242.943,989,232,20,21,20.220,20.025,85.178
136,218,130.495,100,179,966.720,268.945,966.719,268.556,958,260,17,17,17.060,16.270,158.980
137,142,131.218,91,172,908.197,339.366,908.238,339.456,901,332,14,14,13.729,13.169,17.050
138,363,134.675,98,172,920.539,307.371,920.627,307.500,909,296,22,22,21.612,21.385,149.060
139,155,140.819,115,179,802.139,352.248,802.144,352.121,794,345,15,14,14.227,13.872,151.363
140,188,158.926,119,210,773.766,354.404,773.821,354.384,765,346,16,16,15.581,15.363,65.241
141,187,130.059,85,185,610.746,388.441,610.635,388.228,602,380,16,16,15.457,15.403,77.038
142,389,121.540,91,168,641.963,417.739,641.922,417.721,630,406,23,23,22.320,22.190,20.801
143,326,99.126,61,140,556.528,382.037,557.205,382.014,546,371,21,21,20.494,20.254,163.963
144,238,110.933,87,140,499.790,427.307,499.817,427.202,490,418,18,18,17.524,17.293,69.321
145,188,114.394,82,155,502.516,448.346,502.506,448.595,494,440,16,16,15.556,15.387,157.992
146,177,120.006,87,173,459.528,439.421,459.806,439.317,451,431,16,16,15.034,14.990,32.846
147,255,122.639,95,161,518.900,487.014,519.171,486.720,509,478,19,18,18.101,17.937,70.859
148,101,108.931,80,137,466.480,518.658,466.185,518.646,460,512,12,12,11.349,11.331,172.875
