 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,8122,94.052,42,145,101.557,139.009,103.327,139.490,57,80,88,118,118.285,87.427,91.462
2,3926,69.572,32,110,371.118,65.006,370.431,65.465,324,37,93,56,93.432,53.502,168.838
3,651,75.129,45,106,423.695,168.982,424.234,168.868,406,154,34,29,37.675,22.001,144.482
4,2525,79.577,30,128,46.102,459.481,46.112,462.067,24,422,44,75,75.068,42.827,93.002
5,5923,91.964,22,143,519.551,357.995,519.582,358.744,484,302,71,112,115.141,65.497,106.692
6,1234,52.321,13,80,685.156,491.541,684.813,492.786,660,473,49,37,52.106,30.153,151.268
7,1681,85.607,34,125,624.544,424.991,625.210,425.005,603,399,42,52,52.410,40.838,105.599
8,1478,76.998,36,109,819.098,517.442,818.130,516.492,797,490,43,54,61.145,30.777,123.832
9,951,53.160,20,89,935.669,479.532,935.772,479.695,911,465,48,28,49.232,24.595,162.986
10,1056,71.933,26,99,661.158,564.446,661.536,564.241,637,548,48,33,51.529,26.093,27.089
11,1049,103.816,60,144,501.285,438.816,501.483,438.749,479,423,43,32,42.795,31.210,12.539
12,413,89.722,65,120,544.660,442.485,545.012,442.137,534,429,20,27,27.180,19.347,86.841
13,1623,79.668,47,114,468.283,575.963,469.766,574.717,433,553,70,45,78.248,26.409,28.928
14,2354,88.965,39,131,216.094,537.052,216.259,538.075,192,503,47,68,68.800,43.564,73.611
15,2373,130.009,49,196,162.614,746.105,161.684,747.360,138,712,49,67,69.450,43.505,66.961
16,959,105.090,62,138,203.603,733.505,203.805,733.766,189,711,29,44,43.928,27.797,78.580
17,1306,145.116,104,192,236.580,814.044,236.667,813.955,218,786,37,56,60.294,27.579,63.200
18,1299,133.059,81,189,398.663,768.493,398.919,768.573,372,752,53,32,53.226,31.074,178.832
19,1334,133.643,104,179,108.074,917.513,107.925,917.839,91,890,33,54,53.626,31.673,81.179
20,3488,179.781,82,242,41.316,962.451,41.844,962.443,0,935,84,55,86.586,51.291,15.437
21,1402,132.929,86,179,161.557,988.537,161.819,987.652,145,961,33,55,54.882,32.526,90.735
22,229,95.703,75,119,263.133,749.207,262.822,749.114,252,741,21,16,22.120,13.181,149.623
23,3248,180.750,93,253,269.358,993.364,268.405,994.518,229,964,80,58,83.855,49.317,25.028
24,749,116.615,77,154,608.718,966.832,608.300,966.903,589,953,39,27,40.449,23.577,20.612
25,1585,77.497,37,117,864.120,721.981,863.575,721.996,842,696,44,52,58.384,34.566,125.458
26,1573,100.938,46,149,788.357,899.257,789.731,900.745,766,873,44,52,58.211,34.406,123.374
27,380,102.908,77,131,940.734,902.655,940.809,902.802,929,890,22,24,24.755,19.545,57.056
28,1074,80.311,47,125,962.114,665.016,962.569,664.245,945,644,34,42,41.811,32.705,72.246
29,4268,69.021,24,110,884.110,253.630,884.064,255.746,850,213,68,81,82.990,65.480,110.407
30,4060,80.040,34,138,942.196,130.519,942.558,129.151,902,97,80,66,81.197,63.665,160.794
31,316,84.858,50,110,504.712,695.146,503.917,694.807,491,687,26,16,25.730,15.637,165.707
32,274,76.818,53,100,442.277,743.825,442.460,743.686,430,736,24,15,24.020,14.524,3.632
33,1534,109.842,39,168,486.778,889.509,485.916,891.830,469,861,35,57,56.833,34.366,88.631
34,1078,77.155,31,119,716.420,662.008,715.482,663.233,700,639,33,46,47.695,28.778,66.376
35,1515,61.857,37,103,731.379,43.296,731.617,44.251,709,21,44,44,43.921,43.919,165.536
36,3202,89.455,35,137,834.454,153.666,836.148,153.386,802,121,64,65,63.903,63.799,69.913
37,3054,81.696,32,139,837.180,466.008,837.857,467.511,805,434,63,63,62.360,62.356,87.506
38,1245,127.818,67,192,70.632,872.510,70.547,873.100,50,852,41,41,39.816,39.813,85.815
39,1521,120.119,80,162,213.303,679.728,213.650,680.315,191,657,44,45,44.111,43.903,149.884
40,2400,133.902,95,178,771.150,993.482,770.879,993.052,743,965,56,56,55.487,55.072,11.833
41,825,77.048,33,177,396.101,986.676,393.927,989.030,373,961,46,51,65.748,15.977,48.084
42,524,47.525,19,112,747.807,815.036,749.695,816.272,725,799,44,32,52.574,12.690,145.034
43,419,68.086,39,128,607.691,741.882,608.032,742.544,593,728,28,28,35.990,14.823,134.038
44,419,92.492,57,181,168.218,804.004,168.442,803.747,149,790,37,28,43.859,12.164,36.125
45,891,47.378,22,109,456.089,493.738,456.751,492.779,434,467,43,53,64.729,17.526,52.073
46,528,35.061,10,88,448.081,417.650,448.240,417.803,435,399,26,37,41.137,16.342,57.962
47,2038,37.798,0,82,590.134,184.060,594.509,179.455,551,145,78,78,107.437,24.152,45.001
48,290,54.900,31,85,114.745,13.000,114.759,12.082,104,3,20,20,19.367,19.065,23.257
49,281,61.534,35,106,132.151,23.500,133.013,23.200,122,14,20,19,18.971,18.860,90.000
50,308,86.117,51,122,970.662,11.000,970.225,11.078,960,1,20,20,20.068,19.541,90.000
51,288,76.194,52,117,616.667,83.069,616.744,83.547,606,73,20,20,19.200,19.099,40.291
52,208,57.351,33,89,487.000,94.000,487.002,94.645,479,86,16,16,16.274,16.274,0.000
53,267,47.783,18,81,466.639,34.474,465.883,33.956,457,25,19,19,18.442,18.434,100.713
54,298,85.164,59,121,674.242,98.493,673.923,98.133,664,88,20,20,19.617,19.341,3.866
55,336,36.289,18,67,944.170,208.009,944.466,208.284,933,197,21,21,20.689,20.678,86.987
56,274,80.091,52,114,978.139,189.996,978.220,189.764,968,180,19,19,18.682,18.674,91.507
57,306,72.804,46,115,328.186,128.500,328.127,127.693,318,118,20,20,20.153,19.333,170.810
58,193,61.767,35,87,336.075,155.510,336.264,155.389,328,147,16,16,15.946,15.410,4.283
59,155,62.155,42,97,383.674,157.971,383.663,157.471,376,150,15,15,14.233,13.866,78.436
60,306,47.425,29,73,414.212,204.000,414.545,203.862,404,194,20,20,19.748,19.729,90.000
61,409,50.227,34,87,448.722,204.488,448.594,203.801,437,193,23,23,22.829,22.811,93.145
62,354,35.336,20,54,476.698,222.054,476.300,222.146,465,211,22,22,21.286,21.175,122.187
63,728,76.151,45,114,579.716,296.008,579.740,296.063,564,280,31,31,30.665,30.227,16.808
64,270,61.948,29,100,794.144,324.000,795.031,323.995,784,314,19,19,18.546,18.537,90.000
