 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,3389,99.360,51,158,461.600,156.498,461.175,155.706,432,118,59,76,76.992,56.045,108.919
2,26771,127.147,55,203,353.557,250.501,354.465,247.503,244,171,218,158,217.204,156.931,175.945
3,3404,87.611,9,156,506.613,325.982,505.667,322.439,477,288,59,76,77.526,55.905,106.941
4,9220,105.648,37,165,243.567,490.030,242.489,489.507,194,428,99,124,127.471,92.094,112.794
5,4698,103.263,16,171,643.074,457.062,643.504,456.474,608,412,69,89,91.176,65.606,108.915
6,1553,82.287,54,127,786.125,375.089,785.761,375.294,766,346,39,58,61.532,32.135,65.648
7,6689,124.312,57,186,893.064,236.037,892.126,235.975,850,185,85,102,103.223,82.508,107.839
8,4190,120.321,32,194,709.568,210.987,710.184,210.148,678,166,62,89,89.548,59.575,78.025
9,7456,130.287,57,198,695.079,305.495,694.027,306.242,636,264,118,83,120.024,79.095,164.957
10,802,90.398,54,130,589.132,243.470,589.286,243.386,574,225,30,37,39.464,25.875,117.685
11,5180,103.106,55,192,598.025,124.972,598.684,126.261,568,68,60,113,112.632,58.557,82.768
12,802,93.732,57,123,734.844,415.175,734.777,415.187,716,400,36,30,36.069,28.311,163.413
13,5055,98.428,44,153,115.543,617.492,115.565,618.721,89,554,52,127,127.415,50.514,85.263
14,4403,71.941,2,141,43.191,600.485,39.138,605.176,0,566,85,68,85.641,65.460,163.290
15,1626,120.768,67,173,430.022,905.000,430.548,904.062,404,885,52,40,51.858,39.922,0.000
16,1825,80.728,30,141,770.983,754.487,770.663,756.079,746,729,49,50,55.202,42.094,132.861
17,884,77.348,46,124,540.218,618.015,539.582,617.567,521,602,37,32,38.567,29.184,149.187
18,1883,71.274,27,112,38.144,35.482,36.285,35.458,10,14,56,43,56.137,42.708,1.139
19,7814,98.777,31,185,174.075,773.492,176.489,774.185,122,725,104,97,104.692,95.032,19.394
20,1708,35.567,0,123,134.410,161.696,134.810,162.402,101,119,67,85,106.051,20.506,128.055
21,893,42.259,10,98,335.775,138.491,335.313,136.856,312,120,47,36,54.844,20.731,34.410
22,1461,38.123,5,87,350.071,422.309,349.905,422.763,317,386,66,73,95.185,19.543,132.060
23,657,41.677,6,84,289.101,774.380,289.654,773.120,270,756,37,36,47.121,17.752,135.914
24,285,101.540,63,142,234.675,175.486,234.662,175.037,224,165,20,20,19.056,19.043,94.574
25,792,106.634,63,160,825.710,35.006,826.199,35.309,809,19,32,32,31.945,31.567,70.823
26,306,65.330,22,138,473.657,354.997,473.204,355.532,463,345,20,20,20.165,19.322,81.080
27,288,93.413,52,160,437.191,438.514,437.580,438.460,427,428,20,20,19.200,19.099,57.061
28,1055,80.704,47,132,436.661,575.500,437.057,575.261,418,557,37,37,36.653,36.648,90.000
29,605,63.393,20,170,821.198,666.576,819.628,668.288,806,652,29,29,32.921,23.399,45.120
30,270,105.233,63,149,838.144,710.000,838.116,710.311,828,700,19,19,18.546,18.537,90.000
31,402,68.032,22,155,636.194,837.007,636.254,836.423,624,825,23,23,22.631,22.617,87.797
32,543,74.972,43,128,780.747,971.001,781.003,970.453,767,957,27,27,26.476,26.113,42.824
33,1389,88.936,47,135,766.141,927.300,765.237,927.693,744,906,43,42,42.311,41.798,134.153
34,557,89.758,40,145,495.920,901.320,496.258,901.135,482,888,27,27,26.676,26.586,70.444
35,305,107.098,62,185,814.680,526.516,814.831,527.207,804,516,20,20,19.713,19.700,84.806
36,336,74.494,48,127,102.089,418.000,101.931,417.619,91,407,21,21,20.685,20.682,90.000
37,383,63.540,23,101,480.954,607.717,480.711,607.097,469,596,23,23,22.148,22.018,16.522
