numGT,radiusGT,denGT,numPred,radiusPred,denPred,areaIMG
5,22.863,2.082466,8,20.732,3.33194502291,240100
11,22.451,4.581424,16,24.476,6.66389004581,240100
37,36.151,4.671127,42,37.518,5.30236081303,792100
30,12.788,35.671819,15,16.588,17.8359096314,84100
76,16.417,31.653478,65,17.505,27.0720533111,240100
34,28.051,14.160766,22,26.935,9.16284881299,240100
66,29.372,8.332281,57,32.930,7.1960611034,792100
14,10.215,66.587396,19,7.256,90.368608799,21025
26,16.907,30.915577,28,17.802,33.2936979786,84100
29,17.269,34.482759,22,15.217,26.159334126,84100
18,24.665,21.403092,19,21.288,22.5921521998,84100
7,23.757,8.323424,14,13.819,16.6468489893,84100
