numGT,radiusGT,denGT,numPred,radiusPred,denPred,areaIMG
4,9.225,1.665973,3,9.107,1.24947938359,240100
9,9.164,3.748438,3,8.349,1.24947938359,240100
58,13.935,7.322308,58,14.756,7.32230778942,792100
60,6.948,71.343639,81,6.722,96.3139120095,84100
174,8.574,72.469804,138,8.828,57.4760516451,240100
62,10.000,25.822574,53,11.125,22.0741357768,240100
35,11.850,4.418634,80,15.474,10.099734882,792100
35,3.312,166.468490,32,3.179,152.199762188,21025
60,7.857,71.343639,91,6.612,108.20451843,84100
55,6.643,65.398335,88,6.113,104.637336504,84100
14,7.265,16.646849,14,8.313,16.6468489893,84100
23,6.873,27.348395,8,6.228,9.51248513674,84100
