 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,1501,101.571,53,144,131.090,353.496,131.373,353.622,102,336,57,35,56.448,33.856,7.415
2,1492,100.213,49,148,285.618,376.507,285.265,376.601,258,357,55,38,56.135,33.841,160.113
3,3501,115.639,20,183,73.671,474.501,73.378,472.290,43,437,61,74,73.487,60.658,95.467
4,261,58.314,29,84,884.749,256.293,885.321,255.853,872,248,24,16,23.516,14.132,13.624
5,407,72.929,47,107,711.397,260.886,711.382,261.148,698,250,26,22,29.305,17.683,146.287
6,9436,137.355,84,205,495.546,330.491,495.233,330.615,431,282,128,96,130.435,92.109,163.904
7,5721,111.304,56,164,616.610,285.998,616.013,287.212,573,243,86,86,85.423,85.272,35.078
8,1024,120.687,83,164,714.191,525.016,714.242,525.070,695,506,37,37,36.112,36.104,85.333
9,285,88.947,53,147,676.675,471.486,677.128,471.742,666,461,20,20,19.056,19.043,94.574
10,285,116.786,76,168,803.675,559.486,803.548,559.484,793,549,20,20,19.056,19.043,94.574
11,325,101.748,66,152,237.743,806.491,237.991,806.632,227,796,21,21,20.354,20.331,92.175
12,273,122.718,85,175,139.683,714.485,139.937,714.554,130,705,19,19,18.651,18.637,94.574
