 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,232,58.315,22,101,427.315,10.573,428.163,10.971,416,3,22,15,22.563,13.092,21.283
2,1262,84.081,37,133,977.903,89.833,977.209,90.547,960,67,35,46,45.832,35.059,88.142
3,2558,82.819,30,143,924.009,179.028,925.353,180.856,894,149,59,59,65.418,49.786,45.370
4,689,87.441,49,127,82.094,208.308,82.085,208.250,70,189,24,38,38.600,22.727,100.311
5,255,72.761,47,109,193.233,264.802,193.602,265.100,184,252,17,26,27.819,11.671,117.022
6,946,61.522,26,94,290.607,235.032,290.515,235.164,272,216,37,38,45.739,26.334,47.051
7,420,52.574,26,77,197.512,149.586,198.433,149.232,180,138,34,23,38.402,13.925,30.876
8,137,45.365,23,68,476.142,14.274,475.790,14.654,469,6,13,16,15.670,11.131,60.051
9,1961,116.861,48,188,689.999,117.168,688.297,116.850,656,98,67,38,67.562,36.956,169.506
10,1554,102.347,20,161,666.404,158.048,666.890,158.694,646,130,40,56,60.120,32.911,116.030
11,116,76.336,58,97,557.966,260.836,558.004,260.943,549,255,17,11,16.447,8.980,20.011
12,154,80.825,50,98,602.175,255.714,602.140,255.799,596,246,11,19,19.000,10.320,91.803
13,119,57.882,41,76,577.525,175.038,577.615,175.085,572,166,10,17,16.869,8.982,75.916
14,101,67.406,39,87,787.322,149.104,787.141,149.255,781,142,12,13,15.147,8.490,46.638
15,196,36.235,15,60,823.464,176.505,822.599,177.441,815,167,16,19,21.323,11.704,57.309
16,348,76.057,47,112,661.141,34.066,661.245,33.854,653,17,15,34,33.369,13.278,79.752
17,198,62.899,38,96,898.571,80.232,898.506,80.807,892,68,12,25,25.122,10.035,103.130
18,1124,98.585,61,145,731.492,241.268,731.789,241.012,706,221,51,40,59.702,23.971,35.326
19,384,87.031,58,122,450.560,316.089,450.511,315.787,440,303,20,26,26.123,18.716,79.152
20,246,73.846,50,96,337.220,322.451,336.921,322.368,325,314,24,16,24.897,12.580,156.583
21,293,95.290,58,129,622.483,414.811,622.402,414.528,610,405,24,19,27.290,13.670,34.374
22,1113,94.502,50,134,965.021,316.779,965.357,316.161,949,291,31,51,53.087,26.694,71.445
23,974,112.246,62,163,896.773,383.380,896.133,383.397,868,370,57,26,57.986,21.387,166.619
24,225,83.191,38,123,945.527,377.451,945.090,377.203,934,370,22,15,22.818,12.555,154.547
25,282,106.865,71,134,982.621,439.986,982.808,440.223,972,428,20,23,25.928,13.848,51.528
26,2860,120.444,58,183,804.458,445.563,804.547,446.029,772,414,64,62,72.086,50.516,43.238
27,640,99.752,46,154,832.408,469.642,832.620,470.227,816,452,32,34,41.252,19.754,48.397
28,726,105.372,35,158,737.032,422.145,737.370,423.517,717,407,39,30,43.725,21.141,148.307
29,143,92.210,60,124,685.472,414.087,685.138,414.194,677,407,16,13,16.988,10.718,29.856
30,1166,94.581,51,130,560.423,341.329,560.457,340.972,546,310,28,62,62.434,23.779,103.272
31,1060,109.814,67,142,912.131,582.113,912.064,582.214,890,558,44,47,59.168,22.810,47.687
32,236,106.941,64,150,950.114,574.487,950.169,574.824,940,565,19,18,20.382,14.743,138.671
33,531,124.352,81,178,857.257,599.067,857.382,599.268,844,582,26,34,36.974,18.285,120.735
34,248,94.980,65,127,795.907,653.282,796.037,653.158,788,641,15,24,25.118,12.571,68.693
