 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,1252,61.393,8,111,301.955,66.396,302.984,67.752,282,43,39,46,50.226,31.739,123.488
2,1641,80.012,17,123,265.106,312.528,265.501,312.956,242,287,46,51,57.701,36.211,51.629
3,23017,131.805,31,220,517.540,489.998,517.953,489.179,440,388,155,203,215.742,135.839,115.985
4,4524,101.342,0,180,757.553,451.997,755.993,450.181,722,404,71,96,106.118,54.281,120.051
5,1288,24.470,0,67,934.967,538.928,936.392,542.476,912,519,45,39,47.355,34.631,151.638
6,1357,57.448,12,93,913.804,646.620,913.721,647.846,893,625,41,43,43.371,39.837,79.672
7,910,64.282,35,99,560.624,792.387,560.667,793.238,543,774,34,37,40.154,28.855,127.484
8,135,69.474,50,101,457.567,939.115,457.528,938.898,450,933,15,12,15.464,11.115,157.077
9,1386,89.020,48,154,381.587,830.542,382.839,830.215,358,810,46,41,49.460,35.680,143.839
10,14717,100.731,0,189,230.519,748.226,231.787,751.387,173,665,115,166,167.641,111.776,78.740
11,3360,74.426,17,129,88.587,851.976,87.390,851.704,55,817,67,70,79.879,53.557,49.192
12,1383,20.839,0,63,119.619,975.468,120.895,974.366,100,950,38,50,51.564,34.150,113.595
13,667,40.882,7,76,370.271,923.491,371.237,924.080,353,910,34,27,35.729,23.769,150.900
14,1284,53.558,18,83,122.717,552.967,122.307,552.624,105,528,34,50,49.519,33.014,82.398
15,8962,117.101,5,208,828.554,54.542,827.979,51.827,775,0,106,109,115.233,99.023,127.181
16,2523,130.709,85,220,835.611,241.464,835.542,241.497,805,214,61,54,61.248,52.449,164.663
17,2333,138.345,57,201,420.132,216.511,420.166,217.239,392,189,55,55,54.816,54.190,126.523
18,3488,87.402,22,139,691.667,706.040,692.692,707.086,658,672,67,67,66.895,66.388,14.934
19,2039,23.370,0,97,897.543,331.991,900.570,333.030,882,285,30,94,94.349,27.516,83.479
20,3577,32.533,0,114,755.686,884.492,755.013,878.954,693,865,125,38,125.243,36.364,175.902
21,665,77.795,40,162,231.261,45.518,232.083,44.531,216,30,30,30,29.209,28.988,109.892
22,1170,44.983,0,141,142.115,220.508,143.712,221.683,122,201,39,39,38.678,38.515,86.652
23,661,42.769,0,98,61.172,303.464,59.699,302.995,47,287,28,32,35.169,23.930,125.091
24,208,45.913,0,131,299.000,247.000,299.807,249.339,290,238,17,17,16.274,16.274,0.000
25,534,42.266,0,121,587.228,156.009,586.777,156.447,573,142,27,27,26.083,26.067,87.653
26,301,90.910,36,171,607.679,248.500,607.969,248.240,597,238,20,20,19.583,19.570,90.000
27,110,64.355,31,137,763.073,307.009,763.659,307.823,757,301,12,12,11.836,11.833,82.875
28,323,64.693,21,135,747.692,299.017,747.074,298.008,737,288,21,21,20.338,20.221,8.544
29,214,65.327,31,121,936.061,67.500,936.326,67.501,927,59,17,17,16.644,16.371,90.000
30,225,75.493,42,120,689.224,181.500,689.608,181.372,680,173,18,17,17.036,16.816,90.000
31,249,56.213,22,91,268.155,416.018,268.142,415.524,259,407,18,18,17.873,17.738,33.189
32,233,73.803,36,134,226.697,452.500,226.468,451.896,217,443,18,18,17.233,17.215,90.000
33,773,50.173,10,118,180.200,515.492,180.380,515.495,164,499,32,32,31.617,31.129,3.328
34,574,43.244,12,91,47.265,625.498,46.382,623.801,33,611,28,28,27.262,26.808,82.886
35,137,74.781,36,120,57.763,457.500,57.797,457.073,50,450,14,14,13.228,13.187,90.000
36,542,49.725,8,109,65.771,683.998,66.103,683.618,52,670,27,27,26.444,26.097,50.795
37,231,54.511,21,84,86.673,769.032,86.589,769.202,77,759,18,19,20.724,14.192,48.911
38,214,73.098,37,128,88.533,659.075,88.302,658.744,81,649,14,20,20.199,13.490,89.018
39,363,43.598,9,87,219.211,917.056,219.838,916.846,206,907,25,20,25.841,17.885,24.742
40,495,35.434,0,116,276.268,944.484,278.934,942.372,263,931,26,26,25.348,24.864,99.233
41,970,25.687,0,76,51.685,938.952,51.432,939.957,33,921,36,36,35.379,34.909,93.294
42,181,77.890,52,114,480.610,827.500,480.593,827.508,472,819,16,16,15.184,15.178,90.000
43,208,68.361,39,119,462.000,711.000,461.984,710.956,454,703,16,16,16.274,16.274,0.000
44,803,54.014,0,123,669.745,520.014,670.094,520.071,653,504,33,32,32.202,31.750,107.174
45,353,78.535,25,142,753.231,561.520,752.748,560.822,742,550,22,22,21.282,21.119,115.727
46,623,62.567,33,138,740.766,735.500,741.234,734.626,726,721,29,29,28.174,28.154,90.000
47,801,55.342,0,137,887.202,795.525,886.917,795.387,870,779,33,33,32.021,31.850,177.492
48,525,79.528,37,148,975.241,752.010,975.802,752.023,962,739,26,26,25.898,25.811,30.502
49,495,29.745,0,124,912.738,927.504,912.858,922.881,899,914,26,26,25.114,25.096,89.029
50,442,61.081,19,121,657.195,981.570,656.749,980.711,645,968,24,26,28.949,19.440,50.847
51,340,62.953,23,128,628.182,919.500,628.768,919.101,617,909,21,21,21.185,20.434,90.000
52,268,72.638,27,143,636.190,848.955,636.303,848.368,626,839,19,19,18.572,18.373,132.878
53,289,91.810,46,138,586.728,838.417,586.661,838.672,576,828,21,20,22.530,16.332,137.290
54,313,62.409,10,124,868.666,652.938,868.711,653.111,857,643,22,20,23.539,16.930,142.652
55,139,34.216,0,112,1015.558,647.435,1016.293,645.376,1009,639,12,16,15.817,11.189,105.502
