 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,3890,49.590,15,77,1852.108,770.985,1854.144,771.292,1812,737,79,67,85.518,57.916,147.721
2,4112,43.393,25,73,1892.452,839.935,1891.596,841.267,1856,803,73,73,72.458,72.257,118.391
3,1392,68.242,26,96,1522.061,480.518,1521.624,482.163,1504,454,35,52,51.150,34.650,84.868
4,1568,64.787,47,89,901.513,758.942,901.761,758.843,876,737,50,43,54.047,36.939,32.735
5,2500,71.989,49,97,144.201,1040.306,143.573,1040.349,110,1016,68,48,68.683,46.345,166.682
6,7045,69.666,38,101,502.700,1109.940,502.121,1110.640,456,1058,93,104,115.225,77.847,126.915
7,5367,53.844,32,77,710.552,1189.483,709.598,1189.227,675,1139,70,100,100.301,68.129,80.251
8,4891,56.794,26,88,1237.185,1131.987,1235.606,1130.034,1193,1093,87,77,95.964,64.893,35.415
9,10422,49.777,16,91,1828.059,1342.034,1829.672,1338.063,1763,1287,130,109,140.018,94.772,31.152
10,6638,71.710,43,100,1974.061,1341.035,1974.720,1339.982,1926,1292,95,97,111.666,75.688,133.133
11,4716,42.762,17,69,43.120,1307.664,45.700,1309.151,5,1267,75,81,84.141,71.364,120.051
12,15584,60.258,6,114,384.573,1371.475,385.013,1380.660,313,1298,142,146,161.060,123.197,132.110
13,23539,70.018,34,104,676.532,1542.993,676.813,1543.197,602,1441,148,204,203.998,146.917,92.795
14,18367,66.893,39,101,896.541,1465.490,895.140,1464.082,834,1369,124,193,194.649,120.143,100.991
15,22141,80.636,32,121,374.386,1742.974,373.586,1747.398,277,1669,195,147,196.727,143.299,13.011
16,8071,71.633,46,108,1023.545,1701.355,1022.677,1701.525,955,1662,136,78,136.525,75.270,8.074
17,9071,51.878,29,72,1384.078,1737.523,1384.014,1738.122,1335,1677,97,121,121.052,95.410,79.432
18,16088,66.900,36,111,1156.076,1505.494,1155.842,1504.930,1072,1443,168,124,168.932,121.255,169.466
19,8289,61.728,35,92,1368.558,1419.494,1368.603,1420.860,1324,1358,88,122,121.336,86.981,84.784
20,6852,76.911,42,117,1237.117,1369.515,1237.304,1369.119,1180,1325,114,88,124.963,69.815,30.412
21,7393,51.759,25,79,1872.693,1518.541,1872.167,1518.857,1825,1465,94,107,117.075,80.402,124.111
22,9145,66.824,38,99,1950.096,1728.992,1949.457,1728.645,1882,1680,135,97,145.133,80.228,153.550
23,7043,51.596,23,84,167.807,1546.017,166.649,1545.919,116,1494,102,103,124.836,71.834,45.668
24,4713,118.061,73,211,1830.101,1990.984,1827.888,1992.427,1783,1958,93,66,92.531,64.852,3.513
25,9721,80.352,36,123,394.086,1482.982,391.215,1483.422,343,1419,101,128,132.576,93.359,113.257
26,3496,58.153,40,78,1992.555,1076.364,1992.966,1076.863,1965,1034,54,84,83.871,53.073,88.979
27,2821,92.072,68,112,131.165,127.632,131.133,127.528,101,97,60,61,60.056,59.808,176.294
28,8940,84.865,59,121,245.399,186.992,245.047,186.701,191,133,108,107,107.108,106.273,173.794
29,5806,68.054,38,94,597.433,350.726,596.754,350.181,549,312,96,77,95.918,77.070,0.231
30,4801,74.929,48,107,747.457,372.768,746.873,372.351,705,336,85,73,84.953,71.955,7.378
31,9637,82.036,57,114,860.100,423.221,860.046,423.198,804,367,111,112,110.999,110.543,52.136
32,4647,69.035,43,104,1044.389,423.304,1044.783,422.489,1005,384,78,78,76.933,76.907,153.100
33,7551,78.970,28,117,1158.390,52.017,1156.942,50.554,1109,3,98,98,98.086,98.018,72.890
34,10171,75.014,16,110,1745.115,536.002,1742.128,534.612,1688,479,114,114,113.810,113.787,120.247
35,5860,85.861,33,121,372.103,626.997,369.757,627.265,328,583,87,87,86.379,86.378,91.903
36,9539,71.782,39,114,638.080,760.997,637.286,758.945,582,705,111,111,110.218,110.195,163.193
37,7214,75.549,51,108,325.364,1136.187,324.815,1135.175,277,1088,96,96,95.892,95.786,124.370
38,5072,61.293,30,85,1008.106,1296.012,1008.188,1297.106,967,1255,81,81,80.361,80.360,83.426
39,17104,61.132,26,98,1314.026,1177.014,1315.534,1178.979,1243,1100,142,154,153.760,141.633,90.061
40,16234,62.796,35,92,1494.072,1256.974,1493.213,1257.400,1425,1181,138,152,157.290,131.411,118.386
41,14733,69.900,24,110,1577.086,1118.990,1579.185,1115.068,1502,1056,150,126,149.714,125.296,2.256
42,2650,40.298,22,75,1366.077,813.957,1367.111,814.274,1326,786,79,56,87.987,38.348,150.189
43,2079,38.084,21,69,993.160,611.944,993.433,612.023,961,583,63,58,78.071,33.906,138.309
44,1958,40.783,18,87,85.128,766.040,85.845,763.967,58,734,53,64,75.431,33.050,52.383
45,2888,37.867,12,71,225.052,1179.032,224.801,1177.129,193,1140,63,78,91.413,40.225,54.061
46,5418,26.201,0,53,1760.026,1668.040,1758.986,1669.768,1712,1606,96,123,148.583,46.428,53.641
47,4401,38.772,7,88,1677.008,1397.144,1674.850,1398.603,1637,1338,79,117,133.367,42.016,58.476
48,3395,37.930,14,83,1182.048,1737.124,1181.479,1737.204,1149,1694,65,86,97.037,44.546,57.488
49,3633,22.641,4,60,400.387,1324.782,399.269,1326.072,363,1277,75,95,112.467,41.129,53.806
50,1034,39.758,8,90,54.166,138.022,54.329,140.669,35,119,37,37,36.287,36.281,82.384
51,2718,54.469,25,97,499.163,116.014,499.150,115.257,469,86,59,59,58.829,58.826,85.215
52,2128,46.048,21,82,763.035,152.997,763.852,152.005,737,127,52,52,52.053,52.052,94.635
53,1433,40.957,19,74,964.661,136.510,964.737,135.709,943,115,43,43,42.717,42.712,86.285
54,2327,59.677,38,89,967.580,290.492,967.962,290.126,940,263,55,55,54.432,54.431,95.528
55,3107,45.397,21,81,1089.753,180.028,1089.717,179.391,1058,148,63,63,63.161,62.633,142.782
56,3801,50.655,27,88,1223.721,416.005,1223.189,417.291,1188,381,70,70,69.840,69.296,116.924
57,2444,48.036,26,82,1421.734,303.966,1422.396,303.760,1393,276,56,56,56.027,55.541,69.413
58,2159,41.632,18,71,1221.054,84.716,1223.207,84.829,1194,58,53,53,52.611,52.250,69.078
59,2260,54.981,34,77,1355.067,60.000,1355.214,60.207,1328,33,54,54,53.643,53.642,90.000
60,2110,48.711,29,100,1513.324,146.758,1513.886,145.003,1487,120,52,53,51.923,51.741,121.906
61,2189,47.387,21,76,1633.384,149.976,1633.985,149.972,1606,123,54,53,52.919,52.668,10.241
62,3078,56.122,34,88,1756.096,210.002,1755.837,209.644,1724,178,63,63,62.603,62.602,89.026
63,890,60.656,38,91,1416.175,139.992,1416.515,139.935,1399,123,34,34,33.666,33.659,92.569
64,1393,33.658,13,79,1843.352,333.964,1843.906,332.918,1823,311,40,46,47.744,37.148,59.462
65,2310,48.052,33,75,1986.845,214.022,1987.557,213.332,1959,186,55,55,54.347,54.118,114.610
66,2486,47.928,30,82,1846.439,404.565,1846.589,405.591,1819,375,54,59,61.448,51.512,119.831
67,2593,40.283,15,83,1623.465,514.043,1623.917,513.281,1595,484,56,60,62.756,52.608,55.404
68,1634,52.077,33,79,1621.745,614.366,1621.871,614.369,1598,591,46,46,45.736,45.488,139.710
69,2327,45.611,19,86,1535.828,439.958,1536.959,438.664,1508,412,55,55,54.650,54.214,35.201
70,2743,58.532,36,103,1449.771,602.672,1449.537,602.652,1420,573,59,59,59.115,59.079,97.197
71,2816,42.442,16,77,1807.837,569.362,1809.722,569.819,1777,539,61,60,59.925,59.832,166.518
72,4360,43.070,14,84,1261.090,654.995,1260.940,653.834,1223,617,75,75,74.508,74.507,92.921
73,5032,52.140,27,89,1485.043,708.008,1484.464,707.530,1444,667,81,81,80.043,80.043,79.931
74,2702,37.313,9,77,838.134,686.996,838.266,689.177,808,657,59,59,58.655,58.653,91.904
75,1674,52.292,19,101,1061.096,779.992,1062.716,778.790,1037,756,47,47,46.168,46.166,94.645
76,2298,56.021,33,97,47.144,515.000,47.294,516.365,20,488,54,54,54.093,54.090,89.827
77,3218,67.602,44,106,33.175,346.004,33.515,344.738,1,314,64,64,64.012,64.008,88.675
78,2654,48.231,21,78,221.164,460.990,221.308,462.614,192,432,58,58,58.133,58.129,93.560
