 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,1794,85.263,59,110,454.849,379.235,454.908,379.231,425,357,59,44,63.779,35.814,151.476
2,1615,68.967,51,94,187.218,504.595,187.131,504.426,158,484,58,40,60.540,33.966,156.136
3,3728,65.057,35,93,314.475,841.992,314.487,843.156,274,811,80,62,81.311,58.376,159.610
4,4804,56.347,27,80,242.135,1113.996,241.099,1114.099,196,1080,92,67,92.385,66.208,177.327
5,4933,48.564,29,77,233.126,1049.025,234.268,1048.738,193,1007,79,83,88.863,70.681,129.349
6,6264,61.249,37,87,90.389,1061.450,90.664,1061.134,42,1018,96,87,100.279,79.534,147.756
7,4792,55.560,28,87,526.164,1214.031,527.497,1213.466,484,1176,84,75,87.497,69.732,149.879
8,7678,50.180,24,76,759.048,1120.024,758.672,1119.934,710,1063,97,114,127.444,76.708,54.448
9,7359,54.337,29,86,888.046,1178.030,888.353,1178.796,849,1115,77,125,124.939,74.995,97.309
10,3540,66.390,39,99,1009.042,1154.727,1008.757,1154.118,971,1120,75,69,86.535,52.086,39.863
11,11651,59.385,22,95,1349.354,1323.995,1347.481,1325.160,1275,1270,149,108,157.033,94.467,155.672
12,6331,49.349,20,75,1422.092,1274.016,1423.671,1273.133,1355,1231,133,85,147.309,54.721,28.292
13,5365,39.904,12,68,1281.346,1568.818,1282.155,1564.775,1249,1512,65,113,115.917,58.929,74.685
14,15859,48.143,16,78,1028.044,1598.783,1026.936,1600.910,965,1506,126,185,199.596,101.166,64.279
15,16813,51.912,20,89,1618.679,1402.024,1620.044,1401.314,1531,1326,175,152,205.474,104.183,38.331
16,10819,49.345,21,79,1509.349,1475.360,1508.087,1474.574,1435,1420,149,110,165.132,83.419,149.931
17,6533,55.842,21,89,1647.401,1535.296,1646.474,1535.999,1592,1492,110,87,122.258,68.037,31.647
18,16578,62.541,28,100,710.042,1477.992,708.504,1478.045,595,1419,230,118,242.478,87.050,159.739
19,5985,48.930,28,72,930.090,1367.994,930.021,1368.433,876,1320,107,96,130.468,58.408,139.951
20,4699,52.824,18,85,655.099,1341.037,652.222,1339.447,609,1305,91,71,95.668,62.539,154.067
21,7124,46.624,13,79,720.071,1393.999,720.802,1392.881,661,1354,117,79,117.517,77.185,9.686
22,20972,63.945,22,111,368.057,1480.990,371.786,1478.280,271,1400,193,161,219.541,121.628,35.008
23,10457,38.967,13,67,1200.630,1278.960,1199.562,1278.757,1134,1226,133,105,139.355,95.542,155.169
24,4584,46.291,23,69,1748.124,1113.019,1748.801,1113.366,1705,1077,86,72,92.415,63.156,149.871
25,6679,58.944,25,94,1974.547,1110.485,1972.430,1110.768,1926,1063,97,95,111.899,75.997,43.413
26,6931,37.926,8,88,1841.131,1370.000,1847.301,1363.135,1788,1316,106,107,133.978,65.868,45.694
27,2242,64.463,40,91,1856.102,446.057,1855.962,445.709,1824,417,63,58,76.578,37.277,41.022
28,2855,72.283,50,98,985.726,283.033,985.410,283.467,951,251,68,63,80.151,45.353,40.762
