 ,Area,Mean,Min,Max,X,Y,XM,YM,BX,BY,Width,Height,Major,Minor,Angle
1,3860,114.562,59,175,441.621,297.982,441.418,298.469,410,258,62,80,79.962,61.463,89.209
2,4306,90.745,26,138,502.587,379.531,500.416,378.340,469,337,66,85,84.551,64.843,101.135
3,2203,132.880,62,224,419.079,516.464,417.154,517.463,394,486,49,60,60.335,46.489,110.047
4,933,62.143,30,94,34.034,219.595,34.063,218.794,22,190,24,58,58.549,20.290,78.226
5,3387,85.758,5,145,937.186,480.474,936.789,478.833,904,447,65,67,68.296,63.144,119.878
6,14803,149.150,61,211,852.097,313.009,851.565,315.518,745,268,214,89,214.591,87.831,3.788
7,198,132.566,87,179,26.298,724.162,26.201,724.291,15,718,22,12,20.927,12.047,6.058
8,1915,179.919,120,238,454.623,695.508,454.656,697.043,429,670,50,50,49.380,49.377,86.121
9,258,175.984,148,209,323.182,925.806,323.181,925.890,313,916,19,19,18.297,17.954,39.684
10,1175,151.317,118,200,776.080,947.320,776.120,947.143,756,927,39,40,38.778,38.580,69.135
11,1350,151.748,109,191,796.120,623.384,796.105,623.132,775,602,42,42,41.566,41.353,153.447
12,18343,129.083,29,218,648.084,829.349,645.050,829.901,567,756,162,146,162.947,143.329,14.968
13,1766,52.158,4,184,521.519,750.616,522.439,748.503,491,723,60,55,75.455,29.800,42.133
14,2211,37.502,4,170,440.235,954.648,442.898,956.645,397,916,85,77,111.401,25.270,137.920
15,1218,30.700,6,110,242.013,91.521,240.420,93.209,212,60,59,62,82.838,18.721,46.441
16,518,85.521,54,139,92.817,310.077,93.114,309.511,79,297,26,26,25.895,25.470,112.739
17,326,105.037,64,156,75.528,281.963,75.265,282.211,65,271,21,21,20.494,20.254,16.037
18,395,62.218,2,149,240.961,250.768,241.476,249.318,229,239,23,23,22.493,22.360,153.411
19,360,96.836,53,159,70.172,550.631,69.488,550.277,59,539,22,22,21.502,21.317,173.417
20,325,102.335,68,157,330.915,562.017,331.169,562.233,320,551,21,21,20.435,20.250,142.499
21,153,109.621,57,169,359.363,417.703,359.430,417.421,352,410,14,15,13.974,13.940,145.886
22,328,83.854,36,151,696.168,353.997,696.906,354.145,685,343,21,21,20.441,20.430,91.042
23,1455,74.354,31,139,716.561,549.502,716.919,549.963,695,528,43,43,43.042,43.041,88.069
24,1128,66.957,33,103,804.638,122.994,804.841,123.569,785,104,38,38,38.185,37.612,58.921
25,249,61.787,41,117,774.155,714.018,774.325,713.919,765,705,18,18,17.873,17.738,33.189
26,267,48.438,12,104,787.639,739.474,789.236,739.862,778,730,19,19,18.442,18.434,100.713
27,490,85.163,41,177,635.243,726.502,635.991,727.169,622,714,26,25,25.052,24.903,93.076
28,326,77.764,37,127,304.212,786.994,303.880,786.529,293,776,21,21,20.382,20.365,91.660
29,452,71.288,43,126,318.478,806.878,319.433,807.341,306,794,24,25,24.070,23.909,92.298
30,347,57.804,17,143,318.731,966.731,319.524,965.861,308,956,21,21,21.063,20.976,130.687
31,835,77.047,36,142,208.995,809.593,209.742,809.662,192,793,33,33,32.991,32.225,55.456
32,347,78.922,32,125,90.215,806.549,89.946,806.943,79,795,22,22,24.133,18.308,44.475
33,193,89.850,52,138,158.764,848.961,159.269,849.063,150,841,17,16,17.928,13.707,141.261
34,268,98.896,51,174,136.369,889.507,136.904,889.733,126,881,20,17,20.967,16.275,155.527
35,405,90.928,68,126,94.414,892.493,94.401,892.411,83,879,22,26,25.885,19.921,107.430
36,942,79.988,44,151,576.144,978.975,577.372,978.259,558,961,36,36,39.517,30.351,134.986
37,237,65.861,35,119,549.610,988.943,549.140,988.853,540,980,19,17,19.982,15.101,149.491
38,331,85.414,47,157,30.213,913.473,30.544,913.946,19,903,22,21,23.426,17.990,138.346
